function	1103_V2_D1_pb	1103_V6_D29_pb	2103_V2_D1_pb	2103_V6_D29_pb	2202_V2_D1_pb	2202_V5_D22_pb	3204_V2_D1_pb	3204_V6_D29_pb	3216_V2_D1_pb	3216_V6_D29_pb	3218_V2_D1_pb
EC:1.1.1.1	755	361	917	875	509	337	809	550	188	149	412
EC:1.1.99.1	22	8	0	0	2	1	11	5	1	0	0
EC:1.2.4.1	27	25	43	4	8	1	22	18	26	2	0
EC:1.2.5.1	22	47	75	36	4	111	9	50	12	7	92
EC:1.2.7.1	64	117	90	124	63	74	172	241	144	240	252
EC:1.3.1.1	37	14	6	15	1	1	24	13	14	19	34
EC:1.3.4.1	3	3	1	1	4	15	26	39	35	219	8
EC:1.3.7.1	1	0	1	3	0	0	0	0	0	2	0
EC:1.3.8.1	849	435	894	475	365	605	1051	1063	450	163	544
EC:1.3.98.1	36	132	118	50	11	155	6	16	36	8	191
EC:1.4.1.1	371	185	128	84	3	146	14	34	38	23	159
EC:1.4.5.1	2	1	0	0	1	1	1	0	0	0	0
EC:1.5.3.1	3	4	38	8	0	3	40	34	8	8	66
EC:1.5.98.1	0	0	0	0	0	0	0	0	13	99	0
EC:1.6.1.1	40	13	0	0	6	3	15	2	0	0	0
EC:1.6.99.1	21	1	86	83	0	1	1	6	1	0	0
EC:1.7.2.1	0	1	5	0	0	0	1	0	1	1	0
EC:1.7.7.1	1	0	3	0	2	0	0	0	1	2	1
EC:1.7.99.1	1243	900	873	775	351	634	1234	1151	562	474	668
EC:1.8.7.1	12	12	58	55	25	51	50	27	60	79	39
EC:1.9.6.1	14	12	4	1	7	13	22	26	2	1	36
EC:1.11.1.1	2	2	0	0	0	0	0	1	0	2	0
EC:1.12.2.1	0	0	0	0	0	0	0	0	1	0	0
EC:1.12.98.1	0	1	25	39	2	21	1	1	76	508	148
EC:1.14.13.1	0	0	0	1	0	1	0	0	0	0	0
EC:1.14.14.1	0	1	0	0	0	0	0	0	1	0	0
EC:1.15.1.1	104	164	237	168	13	143	30	53	45	27	203
EC:1.16.1.1	1	1	2	0	1	0	0	0	0	0	1
EC:1.16.3.1	64	143	101	58	8	130	11	15	18	15	171
EC:1.17.1.1	34	26	21	36	10	44	72	106	19	26	70
EC:1.17.4.1	794	750	961	751	581	675	600	654	407	241	916
EC:1.18.1.1	11	10	123	70	10	63	52	12	38	78	17
EC:1.18.6.1	0	0	0	0	0	0	0	0	1	0	0
EC:1.20.4.1	564	505	974	702	581	515	86	188	453	607	580
EC:1.21.1.1	0	0	0	0	0	0	0	1	0	0	0
EC:1.21.4.1	5	1	8	17	0	0	2	0	0	3	0
EC:1.21.98.1	117	30	1	5	0	24	0	0	2	4	48
EC:2.1.2.1	1663	668	1069	822	351	604	780	655	351	394	732
EC:2.1.3.1	34	4	0	0	0	0	0	0	0	0	0
EC:2.1.4.1	11	1	0	5	13	19	30	45	5	10	43
EC:2.2.1.1	3675	1934	2969	2222	1452	1684	3780	3182	1454	1580	1923
EC:2.3.1.1	790	348	580	609	148	203	528	368	301	382	280
EC:2.3.3.1	2320	1267	2229	1628	1171	1268	1739	1443	1147	1310	1451
EC:2.4.1.1	3427	1931	3435	2379	1593	1888	2290	2161	1298	1411	2075
EC:2.4.2.1	1212	727	916	789	251	588	603	547	270	231	580
EC:2.6.1.1	1793	899	1745	1625	690	865	1457	1152	609	1017	1261
EC:2.7.1.1	311	67	18	12	1	72	2	9	9	6	69
EC:2.7.2.1	1389	945	1574	1101	776	1104	1185	1123	682	880	1127
EC:2.7.4.1	1537	992	1542	1419	684	819	1186	978	715	1001	1031
EC:2.7.6.1	2002	944	1699	1477	963	945	1168	945	777	1219	1184
EC:2.7.7.1	0	0	0	0	0	0	0	0	14	89	0
EC:2.7.9.1	1641	1157	2370	1631	1053	1450	1513	1508	1100	999	1394
EC:2.7.10.1	0	1	0	0	0	0	0	0	2	0	0
EC:2.7.11.1	3299	1865	3644	3382	1883	1482	2903	2558	1538	2590	2707
EC:2.7.12.1	0	0	0	0	3	2	1	3	0	2	0
EC:2.7.14.1	224	39	87	87	3	17	7	41	16	44	27
EC:2.8.1.1	377	152	325	227	62	121	490	341	84	7	127
EC:2.8.3.1	426	203	127	174	115	152	94	79	148	303	146
EC:2.8.4.1	0	0	0	0	0	0	0	0	29	236	0
EC:2.9.1.1	71	33	58	50	153	32	24	44	46	241	48
EC:2.10.1.1	400	109	116	111	114	94	59	114	90	275	107
EC:3.1.1.1	199	84	2	0	4	0	9	7	2	2	1
EC:3.1.3.1	270	279	563	545	33	317	46	132	157	291	560
EC:3.1.5.1	747	430	922	826	413	497	658	631	316	379	678
EC:3.1.6.1	113	353	246	161	14	382	24	167	22	20	413
EC:3.1.11.1	25	12	1	0	3	1	5	2	0	0	0
EC:3.1.12.1	393	265	33	23	67	87	24	31	67	245	37
EC:3.1.13.1	1006	714	1046	859	416	644	770	651	349	447	671
EC:3.1.21.1	29	14	0	0	1	0	8	7	0	0	0
EC:3.1.25.1	0	4	6	0	0	0	0	0	0	0	0
EC:3.1.31.1	42	22	1	0	8	9	2	5	15	86	2
EC:3.2.1.1	853	491	1120	751	206	663	1357	933	343	261	770
EC:3.2.2.1	273	51	396	399	393	134	147	126	298	805	373
EC:3.3.1.1	317	148	195	156	115	218	76	157	67	156	304
EC:3.4.11.1	94	51	21	14	61	49	177	334	30	59	69
EC:3.4.19.1	0	0	0	0	0	1	0	0	0	0	0
EC:3.4.25.1	1	2	0	0	0	0	0	0	29	174	0
EC:3.5.1.1	661	495	1014	674	271	481	254	238	393	573	739
EC:3.5.3.1	55	29	97	111	6	16	1	5	17	27	36
EC:3.5.5.1	7	0	27	22	0	1	5	11	1	2	4
EC:3.6.1.1	1415	685	1219	1167	637	696	1067	1065	685	886	803
EC:3.10.1.1	5	36	27	27	4	106	3	3	9	3	1
EC:3.11.1.1	175	113	85	59	13	61	16	28	7	4	105
EC:3.13.1.1	0	0	0	1	0	0	0	0	0	0	0
EC:4.1.3.1	32	18	0	0	1	0	8	2	0	1	0
EC:4.1.99.1	68	66	61	57	7	78	7	17	13	5	74
EC:4.2.1.1	433	184	374	278	228	219	85	114	214	357	387
EC:4.2.2.1	0	0	1	0	0	0	0	0	2	0	0
EC:4.2.3.1	1462	711	1097	966	561	651	793	766	438	670	808
EC:4.3.1.1	491	250	355	358	323	277	198	156	159	327	316
EC:4.3.2.1	1607	844	1461	1225	737	821	963	875	570	735	1086
EC:4.4.1.1	0	0	0	2	0	0	0	0	0	0	0
EC:4.6.1.1	608	407	832	719	407	506	758	514	361	571	571
EC:4.7.1.1	11	15	0	1	4	13	15	23	0	1	1
EC:4.99.1.1	7	5	0	0	0	1	0	2	0	0	0
EC:5.1.1.1	1266	561	995	822	480	435	768	697	477	659	705
EC:5.1.2.1	352	162	333	386	275	123	278	429	162	350	183
EC:5.1.3.1	1590	727	1024	891	465	537	679	630	497	554	811
EC:5.1.99.1	272	176	216	145	5	124	30	70	19	57	190
EC:5.2.1.1	0	0	0	1	0	0	0	0	0	0	0
EC:5.3.1.1	1316	748	1702	1164	688	928	1144	1067	756	1026	879
EC:5.3.4.1	19	15	3	0	1	1	6	2	0	2	0
EC:5.4.99.1	7	14	3	3	0	0	10	31	0	0	5
