Samples	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1
Firmicutes	89.39690785	76.65630813	79.9079657	77.57601179	79.02333805	77.54327766	94.49733499	93.63771547	80.6440988	76.22507914	69.03458354
Actinobacteria	5.320718967	1.50270983	5.515840147	8.256041038	19.76118052	4.448471936	3.923342157	3.275721195	5.076992453	17.16995723	7.631330934
Proteobacteria	2.408802559	1.637814432	0.392850226	0.33744664	0.430625049	0.199944711	1.036910719	0.808915767	0.062623073	0.103791595	0.465071939
Bacteroidetes	2.873570626	20.20316761	14.18334392	13.76962206	0.784856378	17.13578605	0.542412135	1.237627207	13.84295038	4.196611972	21.44411233
Cyanobacteria	0	0	0	0	0	0	0	0	0	0	0
Fusobacteria	0	0	0	0	0	0	0	0	0	0	0
Spirochaetes	0	0	0	0	0	0	0	0	0	0	0
Euryarchaeota	0	0	0	0	0	0	0	0	0.373335294	2.304560064	0
Ascomycota	0	0	0	0	0	0	0	0	0	0	0
Tenericutes	0	0	0	0	0	0	0	0	0	0	0
Verrucomicrobia	0	0	0	0.06087847	0	0.574453786	0	1.040020357	0	0	1.42490126
Uroviricota	0	0	0	0	0	0.098065851	0	0	0	0	0
