Samples	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1	3218_V6_D29
Lachnospiraceae	51.72329157	42.11259247	34.13474931	46.62620982	30.91581506	33.08730913	73.62172562	61.6641562	36.29715324	21.46153174	30.21789285	37.63558609
Bifidobacteriaceae	18.01561269	4.873262286	17.48146114	21.855097	29.31363974	13.32400225	8.155752042	7.800506118	16.01213432	20.22096056	19.65068905	12.32355478
Oscillospiraceae	6.886430421	14.53618728	25.37532935	9.098449649	4.991268644	18.09150553	5.175757449	3.764305962	15.27844359	7.269199435	21.92096777	23.08196928
Coriobacteriaceae	6.237989654	2.837629386	6.14281486	6.593625964	14.82546144	5.19587009	0	0	5.996020831	17.82174096	9.596282062	5.536147264
Erysipelotrichaceae	2.721890496	3.464661489	1.25210743	1.757414214	5.566834933	2.894315873	3.698796967	4.259462647	2.287809	1.513342305	0.862278342	1.035075532
Enterobacteriaceae	2.494063712	2.680483491	0.163117285	0.201744154	0.593393773	0.630074717	0.955263832	0.882408379	0.279464962	0.277795385	0.230692117	0.320420819
Selenomonadaceae	2.047171868	0.554582791	0.055678237	0.070358627	0	0	0	0	0.074596093	0.092825321	0.060858256	0.089269347
Clostridiaceae	1.941621608	2.169067827	0.986230246	1.414585956	3.733345113	1.635543518	2.199093982	2.628145081	2.478991001	3.766798401	1.033503915	1.964930718
Acidaminococcaceae	1.217740781	1.216436951	0	0.086736917	0	0	0.092387252	0.081134435	0.088770417	0	0	0.055534262
Peptostreptococcaceae	0.927528761	1.032163702	0.884649202	0.810706251	2.129409192	1.447959914	1.158377696	1.520400292	1.30958262	2.528462451	3.313946624	2.361310159
Bacteroidaceae	0.748578944	17.65294946	4.262214391	4.141162365	0.491373332	14.72461384	0.543730531	1.052673737	3.829192466	0.549652405	2.298561912	5.298189408
Eggerthellaceae	0.60867658	0.251942756	0.38931239	0.372726471	0.796332957	1.120399571	0.942108915	3.045968383	0.486268424	1.116452674	1.972811318	0.76232544
Streptococcaceae	0.59613371	2.454868843	0.717886534	0.70301307	1.795251922	0.546051741	0.717009623	1.738195796	3.224136962	0.474695559	0.555616661	0.63062425
Veillonellaceae	0.494211009	0.163343971	0.125883597	0.107754322	0.064077735	0.066358366	0.072121895	0.087192999	0.385738117	0.06909855	0.073850569	0.126785179
Bacillaceae	0.428161646	0.415709857	0.28448496	0.43443357	0.509522365	0.323154743	0.455164989	0.581989298	0.652902416	0.719115998	0.257484834	0.56456535
Paenibacillaceae	0.385910825	0.407748738	0.549727376	0.780387689	0.589819842	0.417038878	0.425705726	0.547718635	0.877993117	1.110467603	0.496994125	0.85657329
Christensenellaceae	0.359099069	0.39595594	0.511387378	0.582824088	0.188079433	0.200161989	0.161692832	0.125278313	0.381396706	0.544855007	0.248712553	0.227125967
Lactobacillaceae	0.354374467	0.245768188	0.145434457	0.194789304	0.184020544	0.149151996	0.174193637	0.25814513	0.313206098	0.817586101	0.159256843	0.319894847
Campylobacteraceae	0.291923408	0.23283137	1.623591903	0.484584918	0.058743195	0	0	0	0.171577106	0.153349939	1.349853713	0.324055751
Enterococcaceae	0.235549974	0.285236842	0.149732744	0.287762658	0.490935815	0.321366122	0.215439028	0.300378283	0.377573219	0.312324643	0.302181263	0.376293578
Turicibacteraceae	0.194732624	0.178584497	0	0	0.340951956	0.05230793	0	0.0564106	0.486969143	0.164152425	0	0.057742301
Eubacteriaceae	0.186775398	0.240878682	0.199970111	0.307794155	0.365669009	0.249346428	0.282055481	0.337232845	0.407315688	0.358437049	0.220052248	0.342360602
Staphylococcaceae	0.120587077	0.095180812	0.06182642	0.099355003	0.107876838	0.065334789	0.097789732	0.127012246	0.198044476	0.266492475	0.053441773	0.130159729
