Samples	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1	3218_V6_D29
Firmicutes	70.02372511	69.01822065	64.51790927	62.60130182	51.67574154	58.91762752	87.64647363	77.36200071	64.27240324	41.75981535	59.42740035	69.18544797
Actinobacteria	24.63275707	8.175445175	24.25364265	28.77224489	44.41585338	19.57743327	9.184180426	11.05976925	22.75716814	39.2201268	31.47008568	19.04695739
Proteobacteria	3.841118186	4.394469187	3.829256955	2.763488503	1.840763005	1.893210935	1.898312067	2.114125095	3.236772539	3.558757439	3.837371295	3.772505535
Bacteroidetes	1.05868376	18.00610602	7.064884495	5.248846341	0.839420623	15.7333596	0.891932977	1.493622168	8.019569595	1.326860347	3.101990358	6.968177158
Cyanobacteria	0.103924959	0.09914173	0.071555508	0.106945966	0.09243985	0.066662465	0.0768613	0.103197017	0.152225944	0.176420041	0.092760277	0.182390212
Fusobacteria	0.088067764	0.086761379	0.049913043	0.093574941	0.135387431	0.074069406	0.100788082	0.130363558	0.149261745	0.236186436	0	0.124219047
Spirochaetes	0.087025373	0.09106825	0.080785641	0.104151688	0.095655507	0.067901239	0.083046293	0.112409614	0.125606999	0.155055117	0.064464058	0.134170435
Euryarchaeota	0.062329273	0.071961267	0.065806453	0.077276224	0.06748243	0.048661698	0.065512253	0.084831558	0.903021423	12.94760789	0.054953962	0.093320011
Ascomycota	0.053647441	0	0	0.049718868	0.054702253	0	0	0.134246389	0.082615085	0.07946309	0	0.061793048
Tenericutes	0.048721072	0	0	0	0.056371921	0	0.052892968	0.071497187	0.090213143	0.180052787	0	0.097589915
Verrucomicrobia	0	0.056826345	0.066245984	0.182450752	0	1.98091713	0	7.333937462	0.06852227	0.075495411	1.382622272	0.17386045
Uroviricota	0	0	0	0	0.726182065	1.640156741	0	0	0.142619881	0.28415929	0.568351754	0.15956883
