Datasets	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1
Ribosome LSU. bacterial	21630.375	20589.086	21338.69	21740.107	19343	19188.787	18583.66	17947.596	21795.72	21385.947	20084.139
Cell division cluster	18254.586	17086.451	18390.375	18124.947	16388	16943.396	17243.264	16661.549	18499.193	16841.004	16622.062
Heat shock dnaK gene cluster extended	16849.299	16233.984	16823.56	16391.426	14454	15668.923	14508.1455	14421.156	17011.037	16160.686	16304.78
Glycogen metabolism	15951.964	14034.95	15284.383	14897.673	13303	13380.82	15849.764	14964.795	15340.278	13497.013	13293.258
DNA repair. bacterial	15524.18	13785.948	14893.358	14832.582	12918	14222.079	12918.714	13016.6	15367.624	15181.404	14251.159
Glycolysis and Gluconeogenesis	15231.131	14917.688	16203.721	14977.375	12491	15021.39	13029.803	12808.425	16212.707	13717.223	14448.041
Universal GTPases	15223.047	14567.132	16102.227	15328.064	12576	13803.356	12709.354	13038.546	15881.024	15430.053	14611.604
DeNovo Purine Biosynthesis	14558.129	13451.992	14069.172	14575.543	12791	12682.949	11878.625	11944.371	14434.328	14627.232	13376.554
Galactose utilization	14361.416	14481.202	14925.076	14178.36	12999	14664.446	12509.148	11662.206	14997.129	11772.516	13153.169
Branched-Chain Amino Acid Biosynthesis	13740.287	11633.785	11802.318	11688.33	10161	10535.947	11161.427	11152.428	12389.546	11384.595	11194.96
Glycerolipid and Glycerophospholipid Metabolism in Bacteria	13466.101	12554.606	11084.157	12381.075	11296	10397.898	12775.885	13079.303	12229.88	12027.727	10183.294
Lactose utilization	12780.973	15306.328	13667.273	13424.51	11003	14455.466	10284.31	9169.746	12888.833	10314.168	14345.813
De Novo Pyrimidine Synthesis	12742.573	11891.576	12383.645	11704.2705	10276	10950.094	10479.631	10287.12	12573.029	12129.811	11670.503
Ribosomal proteins. single-copy	12187.465	11383.807	12528.183	11785.965	9534	10336.882	9006.172	9245.617	12333.972	12524.294	11394.112
Translation termination factors. bacterial	12149.738	11221.711	12348.303	12279.455	10891	10840.265	10561.423	10283.985	12408.953	12134.915	11107.878
RNA pseudouridine synthases	11766.417	10793.036	11452.073	11154.325	8906	10423.83	9940.055	9861.991	11662.669	10741.464	10472.558
High affinity phosphate transporter and control of PHO regulon	11680.187	10583.093	10877.997	11016.175	10690	10365.865	12183.205	11165.596	11318.638	11294.178	10397.592
Folate Biosynthesis	11028.742	9144.737	10280.359	9672.528	6966	9637.485	10309.945	9853.84	8461.411	6867.362	9375.324
Cell division related cluster	10946.555	11183.628	9814.121	9652.603	7945	9137.154	11442.202	10881.549	9816.366	8389.147	9444.232
