Taxonomy	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1	taxonomy
Megamonas funiformis	39605.387	10380.961	0	0	0	0	0	0	0	0	0	Megamonas funiformis
Ruminococcus_E bromii_B	20212.287	14693.098	8201.089	3495.6064	0	0	8258.455	12885.55	6255.199	5050.26	6574.313	Ruminococcus_E bromii_B
Blautia_A wexlerae	16808.879	14608.144	16744.268	25444.27	66789	26715.877	134841.7	92411.02	28882.771	30507.916	19863.783	Blautia_A wexlerae
Faecalibacterium prausnitzii_C	13499.11	8528.578	1364.2806	2157.9375	27726	29288.469	0	0	4718.525	1426.9937	11461.506	Faecalibacterium prausnitzii_C
Faecalibacterium prausnitzii_D	11695.008	10231.561	2665.1274	2354.5364	4286	9669.519	14102.854	10728.553	6383.108	586.98517	8083.482	Faecalibacterium prausnitzii_D
Fusicatenibacter saccharivorans	10804.408	16347.255	16722.52	26356.195	38785	32042.58	0	0	17085.137	21951.787	13979.3125	Fusicatenibacter saccharivorans
Agathobacter rectalis	10130.732	1922.6896	3401.4128	3047.2812	1792	1183.7114	11881.676	7703.74	0	0	411.93576	Agathobacter rectalis
Ruminococcus_A sp003011855	9812.085	6553.159	4198.414	7803.511	18361	3363.5098	0	0	5175.469	12290.959	2582.171	Ruminococcus_A sp003011855
Acidaminococcus intestini	7270.3066	4226.2065	0	0	0	0	1516.7968	1322.4148	0	0	0	Acidaminococcus intestini
Bifidobacterium adolescentis	7263.57	811.4551	10033.421	17686.586	0	0	0	0	7394.0317	13138.988	8128.916	Bifidobacterium adolescentis
Dorea longicatena	7208.3286	5231.981	3909.3367	5413.109	4772	2179.7986	0	0	6853.2847	10600.004	1224.4487	Dorea longicatena
Gemmiger formicilis	5228.3965	7070.6934	13138.054	17584.3	1384	2044.8005	0	0	1702.515	1577.2036	4688.798	Gemmiger formicilis
Erysipelatoclostridium sp000752095	5121.955	6171.355	1293.144	1277.8922	6228	9160.798	5380.5083	4636.2896	1890.4092	590.63104	536.12225	Erysipelatoclostridium sp000752095
Bifidobacterium longum	4815.433	1340.7074	2304.9138	2076.2427	39818	10522.981	12075.777	8515.749	2047.4287	5392.9717	7559.475	Bifidobacterium longum
Blautia_A massiliensis	4095.2737	10576.258	7382.7925	16373.492	15695	2498.6074	835.0012	752.44086	2140.9348	2361.795	3503.7256	Blautia_A massiliensis
Eubacterium_G ventriosum	4057.5479	2653.097	2197.0762	2321.9912	0	0	0	0	567.21094	0	0	Eubacterium_G ventriosum
Mediterraneibacter faecis	3972.6648	1852.383	0	0	442	0	0	0	0	0	0	Mediterraneibacter faecis
Coprococcus_A catus	3201.3062	1326.0602	1207.0553	679.46136	831	872.5296	0	0	1514.6208	5610.2656	542.9374	Coprococcus_A catus
Faecalibacterium prausnitzii_G	3163.5806	2821.0513	2073.3804	2211.7366	610	5290.092	1734.7028	8499.446	1632.8265	0	5993.5137	Faecalibacterium prausnitzii_G
Escherichia flexneri	2733.1018	1306.5305	0	0	375	0	1110.2831	0	0	0	0	Escherichia flexneri
Dialister sp900343095	2682.5762	0	6698.16	12159.236	0	0	0	0	0	0	0	Dialister sp900343095
Blautia_A obeum	2473.063	3839.5203	764.8309	2616.2253	3274	1003.7141	8912.173	14236.181	0	761.25775	1676.518	Blautia_A obeum
Blautia_A sp900066165	2248.0554	3287.809	4521.0205	3541.435	1225	590.3303	778.8461	642.7099	1769.5571	731.36163	5184.03	Blautia_A sp900066165
Eubacterium_R sp000433975	1991.385	7018.94	0	0	0	0	0	0	0	0	0	Eubacterium_R sp000433975
Ruminococcus_H sp003531055	1901.7861	1027.2572	1299.4874	4637.3403	430	0	0	0	0	2845.2373	4170.0923	Ruminococcus_H sp003531055
Megasphaera sp001546855	1763.0089	495.07547	0	0	0	0	0	0	0	0	0	Megasphaera sp001546855
Negativibacillus massiliensis	1677.4521	889.5735	0	0	0	0	0	0	0	0	0	Negativibacillus massiliensis
Bacteroides ovatus	1604.6952	11003.956	1309.9087	1633.2312	0	2321.661	502.34357	1124.2721	805.38666	473.23398	2036.2045	Bacteroides ovatus
Dorea formicigenerans	1395.8557	1664.8988	512.0017	909.2695	4695	2537.5051	545.07025	474.66476	1125.6006	1123.6572	577.7702	Dorea formicigenerans
Bacteroides uniformis	1362.172	6591.2417	7157.1494	11629.218	394	15321.894	0	431.3994	0	1330.0135	0	Bacteroides uniformis
Alistipes onderdonkii	1329.8356	5687.021	0	1301.8029	0	1263.795	0	0	0	577.50586	6210.84	Alistipes onderdonkii
Eggerthella lenta	1145.2484	0	0	0	2892	2888.3474	2967.062	4288.913	0	0	363.47272	Eggerthella lenta
Roseburia intestinalis	1112.2384	14349.377	0	7741.7417	3444	2939.4485	2374.9924	872.20435	10297.129	0	9685.033	Roseburia intestinalis
Anaerostipes hadrus	986.26105	3292.6914	4580.376	9871.119	6897	5493.733	10572.409	4164.1333	10648.217	13267.322	3412.8574	Anaerostipes hadrus
Agathobaculum butyriciproducens	978.8506	650.3358	1874.0168	895.9857	1345	1470.4869	0	0	818.61865	400.3166	1129.0371	Agathobaculum butyriciproducens
Blautia sp000436935	925.63025	3827.8025	403.71106	644.92377	0	0	0	0	0	0	0	Blautia sp000436935
Roseburia inulinivorans	924.2829	5293.4995	5289.9287	559.9081	0	0	0	3206.652	6024.0806	0	0	Roseburia inulinivorans
Bifidobacterium pseudocatenulatum	912.15674	0	410.96066	623.66986	0	0	0	0	0	0	3138.7383	Bifidobacterium pseudocatenulatum
KLE1615 sp900066985	780.79	2697.0383	5461.2	4291.3003	3226	2680.8928	0	0	3848.7424	665.0068	592.91486	KLE1615 sp900066985
Parabacteroides merdae	737.67474	2254.6929	0	0	0	0	0	0	0	528.65125	4582.028	Parabacteroides merdae
Collinsella aerofaciens_F	667.6125	0	756.222	1008.23303	5435	506.43326	0	0	554.86115	2759.1948	1050.2847	Collinsella aerofaciens_F
Dorea longicatena_B	655.4863	390.5921	0	0	1071	552.958	0	0	666.8919	821.05005	640.62067	Dorea longicatena_B
Slackia_A piriformis	650.0969	544.876	0	0	0	0	0	0	0	0	0	Slackia_A piriformis
Agathobacter faecis	631.234	0	35797.523	616.36383	9143	48085.996	0	0	28282.04	387.19144	8973.232	Agathobacter faecis
Phascolarctobacterium faecium	599.5712	1993.9727	0	0	0	0	0	0	0	0	0	Phascolarctobacterium faecium
Clostridium saudiense	566.56116	0	0	0	2571	0	0	1007.01666	763.92645	1625.3291	0	Clostridium saudiense
Bacteroides caccae	487.06744	423.79242	0	0	0	0	0	0	0	0	5116.6357	Bacteroides caccae
Evtepia gabavorous	476.28864	0	0	570.53503	0	0	1556.4716	1397.6589	432.24475	2630.1309	1133.5806	Evtepia gabavorous
Ruthenibacterium lactatiformans	449.3416	500.93436	0	0	0	543.0429	1057.7903	3405.4219	0	0	550.5097	Ruthenibacterium lactatiformans
CAG-41 sp900066215	412.28946	2225.3984	1551.4104	1296.4894	1326	2513.8613	5872.4756	1686.7216	1038.2695	1361.368	810.9985	CAG-41 sp900066215
Dorea sp900066555	404.20532	423.79242	0	0	0	0	0	0	0	1383.2433	0	Dorea sp900066555
Turicibacter sp001543345	391.4055	0	0	0	742	0	0	0	426.95197	0	0	Turicibacter sp001543345
Bacteroides faecis	359.74274	1889.4893	0	0	0	1755.7369	0	0	0	0	0	Bacteroides faecis
Acetatifactor sp900066365	0	0	0	0	0	0	0	0	2314.7148	0	0	Acetatifactor sp900066365
Acetatifactor sp900066565	0	0	758.94055	0	0	0	0	0	2919.8574	420.73346	1431.931	Acetatifactor sp900066565
Acutalibacter timonensis	0	0	0	2272.1772	0	0	0	0	0	0	0	Acutalibacter timonensis
Adlercreutzia equolifaciens	0	0	0	0	0	0	0	0	0	0	3775.5728	Adlercreutzia equolifaciens
Agathobacter sp000434275	0	0	2228.7932	2594.3071	0	0	0	0	0	0	0	Agathobacter sp000434275
Agathobaculum sp900291975	0	0	0	0	0	0	487.69443	795.07916	0	0	0	Agathobaculum sp900291975
Akkermansia muciniphila	0	0	0	0	0	2505.4717	0	4366.665	0	0	0	Akkermansia muciniphila
Akkermansia muciniphila_B	0	0	0	0	0	0	0	0	0	0	4204.925	Akkermansia muciniphila_B
Alistipes finegoldii	0	0	0	0	0	2060.0544	0	0	0	0	0	Alistipes finegoldii
Alistipes obesi	0	0	983.67755	682.78235	0	682.6171	0	0	0	0	3581.7207	Alistipes obesi
Alistipes putredinis	0	0	4898.4517	3103.737	0	2664.8762	0	0	0	0	3917.1758	Alistipes putredinis
