taxlevel	rankID	taxon	daughterlevels	total	1103_V2_D1_CTAB_DNA	1103_V2_D1_PowerFecal_DNA	1103_V2_D1_R1	1103_V2_D1_R2	1103_V6_D29_CTAB_DNA	1103_V6_D29_PowerFecal_DNA	1103_V6_D29_R1	1103_V6_D29_R2	2103_V2_D1_CTAB_DNA	2103_V2_D1_PowerFecal_DNA	2103_V2_D1_R1	2103_V2_D1_R2	2103_V6_D29_CTAB_DNA	2103_V6_D29_PowerFecal_DNA	2103_V6_D29_R1	2103_V6_D29_R2	2202_V2_D1_CTAB_DNA	2202_V2_D1_PowerFecal_DNA	2202_V2_D1_R1	2202_V2_D1_R2	2202_V5_D22_CTAB_DNA	2202_V5_D22_PowerFecal_DNA	2202_V5_D22_R1	2202_V5_D22_R2	3204_V2_D1_CTAB_DNA	3204_V2_D1_PowerFecal_DNA	3204_V2_D1_R1	3204_V2_D1_R2	3204_V6_D29_CTAB_DNA	3204_V6_D29_PowerFecal_DNA	3204_V6_D29_R1	3204_V6_D29_R2	3216_V2_D1_CTAB_DNA	3216_V2_D1_PowerFecal_DNA	3216_V2_D1_R1	3216_V2_D1_R2	3216_V6_D29_CTAB_DNA	3216_V6_D29_PowerFecal_DNA	3216_V6_D29_R1	3216_V6_D29_R2	3218_V2_D1_CTAB_DNA	3218_V2_D1_PowerFecal_DNA	3218_V2_D1_R1	3218_V2_D1_R2	3218_V6_D29_CTAB_DNA	3218_V6_D29_PowerFecal_DNA	3218_V6_D29_R1	3218_V6_D29_R2
5	0.1.1.1.1.1	Acidobacteriaceae	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
5	0.1.2.1.1.1	Actinomycetaceae	6	895	10	1	2	5	4	1	1	2	244	10	21	62	18	3	2	3	11	5	1	2	11	1	1	2	67	11	68	30	74	6	13	49	59	6	7	6	9	1	1	3	26	0	3	3	16	2	4	2
5	0.1.2.1.2.1	Bifidobacteriaceae	1	63719	1692	404	1929	1533	692	26	343	311	2197	733	1840	2515	3479	1488	1474	1798	1338	673	5628	5859	1211	172	1961	2107	2358	1156	3656	3160	861	242	1311	1696	677	425	180	174	362	301	145	161	572	347	396	1268	1361	558	87	672
5	0.1.2.1.3.1	Corynebacteriaceae	1	123	0	1	0	1	0	1	0	0	64	4	15	28	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0
5	0.1.2.1.3.2	Nocardiaceae	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.2.1.3.3	Tsukamurellaceae	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.2.1.3.4	Unknown	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0
5	0.1.2.1.4.1	Geodermatophilaceae	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
5	0.1.2.1.5.1	Brevibacteriaceae	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.2.1.5.2	Cellulomonadaceae	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.2.1.5.3	Demequinaceae	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
5	0.1.2.1.5.4	Micrococcaceae	4	54	0	0	0	1	0	0	1	0	11	0	9	8	3	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	5	0	4	7	0	0	0	0	0	0	0	0	1	0	0	0
5	0.1.2.1.6.1	Micromonosporaceae	1	7	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.2.1.7.1	Propionibacteriaceae	1	260	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.2.1.8.1	Pseudonocardiaceae	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.2.1.9.1	Streptomycetaceae	2	185	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5	0.1.2.2.1.1	Actinobacteria unclassified	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5	0.1.2.3.1.1	Atopobiaceae	2	313	103	25	3	3	12	2	1	0	22	1	4	4	0	1	0	5	0	1	2	0	0	0	0	0	0	1	5	3	2	0	1	3	16	5	7	8	19	28	12	8	2	1	1	0	0	0	0	1
5	0.1.2.3.1.2	Coriobacteriaceae	5	6003	25	3	2	2	3	0	0	2	1446	98	70	82	490	146	198	188	11	11	11	41	21	2	4	55	1	0	0	0	0	1	0	0	518	407	86	92	527	612	174	195	144	6	36	61	101	27	7	86
5	0.1.2.3.1.3	Coriobacteriales unclassified	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5	0.1.2.3.2.1	Coriobacteriia unclassified	1	12	1	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	2	0	0	0	0	0	0	0	0	0
5	0.1.2.3.3.1	Eggerthellaceae	10	79907	499	98	48	127	53	23	28	24	462	35	121	288	132	165	224	263	61	95	40	131	276	121	373	897	1409	530	2005	1938	1707	402	1936	3023	98	62	94	66	764	265	307	328	1218	556	663	1060	346	462	289	843
5	0.1.2.4.1.1	Egibacteraceae	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.2.5.1.1	Rubrobacteraceae	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.2.6.1.1	Conexibacteraceae	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
5	0.1.3.1.1.1	Unknown	1	13454	244	178	59	125	297	189	192	199	186	184	174	204	429	277	118	116	547	420	428	508	669	732	398	435	1298	911	296	310	819	541	367	544	207	119	71	69	42	27	24	30	25	71	35	59	121	51	21	52
5	0.1.4.1.1.1	Bacteroidaceae	2	69053	43	457	243	333	271	8132	1953	944	2952	2917	2230	3380	54	2093	1207	1714	13	58	7	17	3574	7996	4553	1231	13	64	67	109	7	97	48	157	6	176	26	11	6	82	13	7	51	7619	4239	3176	17	3907	495	424
5	0.1.4.1.1.2	Bacteroidales unclassified	1	27	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	4	0	0	4	0	0	0	0	0	0	0	0	0	0
5	0.1.4.1.1.3	Barnesiellaceae	2	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	5	5	0	6	0	0	0	0	0	0	0	0	0	0
5	0.1.4.1.1.4	Dysgonamonadaceae	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.4.1.1.5	Muribaculaceae	3	790	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557	89	54	2	74	9	2	0	0	0	0	0	0	0	1
5	0.1.4.1.1.6	Odoribacteraceae	2	1577	1	0	1	0	0	2	0	0	231	313	102	171	2	229	48	78	0	0	0	2	3	22	3	1	1	2	0	0	0	1	0	0	1	14	2	0	1	10	1	0	9	158	87	58	0	14	1	2
5	0.1.4.1.1.7	Porphyromonadaceae	2	26	0	0	0	0	0	0	0	0	0	3	2	1	1	2	2	1	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	3	0	0	0	1
5	0.1.4.1.1.8	Prevotellaceae	4	35714	6	17	19	36	18	392	301	191	3639	589	1622	1809	23	57	378	416	1	1	1	1	1	4	2	1	2	1	3	2	5	3	0	0	3	835	345	160	4	239	15	17	2	1	2	0	1	2	0	4
5	0.1.4.1.1.9	Rikenellaceae	2	5399	0	62	25	26	2	244	56	18	449	209	202	217	4	178	153	205	0	3	0	0	121	245	351	179	1	0	1	0	0	1	0	0	1	40	20	17	2	44	13	17	13	485	789	671	1	200	74	50
5	0.1.4.1.1.10	Tannerellaceae	2	5915	1	4	2	1	2	5	7	3	299	172	149	221	5	117	91	104	1	1	1	0	12	15	17	12	1	2	0	0	1	1	0	0	1	34	13	3	0	20	0	1	12	997	1497	1067	5	770	146	90
5	0.1.4.1.1.11	Unknown	2	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	2	3	1	6
5	0.1.4.1.2.1	Salinivirgaceae	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.4.2.1.1	Flavobacteriaceae	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0
5	0.1.5.1.1.1	Chlamydiaceae	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.5.1.2.1	Parachlamydiales unclassified	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.5.1.2.2	Waddliaceae	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
