taxlevel	rankID	taxon	phylum	daughterlevels	1103_V2_D1_CTAB_DNA	1103_V2_D1_PowerFecal_DNA	1103_V2_D1_R1	1103_V2_D1_R2	1103_V6_D29_CTAB_DNA	1103_V6_D29_PowerFecal_DNA	1103_V6_D29_R1	1103_V6_D29_R2	2103_V2_D1_CTAB_DNA	2103_V2_D1_PowerFecal_DNA	2103_V2_D1_R1	2103_V2_D1_R2	2103_V6_D29_CTAB_DNA	2103_V6_D29_PowerFecal_DNA	2103_V6_D29_R1	2103_V6_D29_R2	2202_V2_D1_CTAB_DNA	2202_V2_D1_PowerFecal_DNA	2202_V2_D1_R1	2202_V2_D1_R2	2202_V5_D22_CTAB_DNA	2202_V5_D22_PowerFecal_DNA	2202_V5_D22_R1	2202_V5_D22_R2	3204_V2_D1_CTAB_DNA	3204_V2_D1_PowerFecal_DNA	3204_V2_D1_R1	3204_V2_D1_R2	3204_V6_D29_CTAB_DNA	3204_V6_D29_PowerFecal_DNA	3204_V6_D29_R1	3204_V6_D29_R2	3216_V2_D1_CTAB_DNA	3216_V2_D1_PowerFecal_DNA	3216_V2_D1_R1	3216_V2_D1_R2	3216_V6_D29_CTAB_DNA	3216_V6_D29_PowerFecal_DNA	3216_V6_D29_R1	3216_V6_D29_R2	3218_V2_D1_CTAB_DNA	3218_V2_D1_PowerFecal_DNA	3218_V2_D1_R1	3218_V2_D1_R2	3218_V6_D29_CTAB_DNA	3218_V6_D29_PowerFecal_DNA	3218_V6_D29_R1	3218_V6_D29_R2
2	0.1.1	Acidobacteria	Acidobacteria	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
2	0.1.2	Actinobacteria	Actinobacteria	6	2333	532	1987	1672	764	53	374	340	4447	883	2083	2990	4128	1805	1900	2262	1421	785	5682	6033	1519	296	2339	3061	3836	1698	5735	5131	2645	652	3261	4772	1375	906	378	355	1687	1211	645	696	1962	910	1099	2392	1826	1050	387	1604
2	0.1.3	Bacteria_unclassified	Unknown	1	244	178	59	125	297	189	192	199	186	184	174	204	429	277	118	116	547	420	428	508	669	732	398	435	1298	911	296	310	819	541	367	544	207	119	71	69	42	27	24	30	25	71	35	59	121	51	21	52
2	0.1.4	Bacteroidetes	Bacteroidetes	2	51	540	290	396	293	8776	2317	1157	7571	4204	4307	5800	91	2676	1880	2520	15	63	11	21	3712	8283	4927	1426	18	69	71	111	13	103	48	157	12	1685	504	251	15	480	53	46	87	9262	6616	4976	26	4896	717	578
2	0.1.5	Chlamydiae	Chlamydiae	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.1.6	Cyanobacteria	Cyanobacteria	2	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1	1	0
2	0.1.7	Deinococcus-Thermus	Deinococcus-Thermus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2	0.1.8	Firmicutes	Firmicutes	6	9816	12468	17984	23378	7806	7014	14468	10657	18659	7305	11172	20788	9071	6805	9263	10256	8054	9848	15537	21384	10455	6620	7268	11343	8523	7775	11554	10407	7989	8740	17123	20952	16623	13037	19508	13381	12244	10470	12276	12279	4749	6413	9589	9730	16080	11609	6258	12458
2	0.1.9	Fusobacteria	Fusobacteria	1	1	2	1	1	1	4	0	3	13	3	4	13	0	3	2	1	4	0	2	1	1	2	0	1	2	1	3	1	5	1	3	0	0	2	9	1	2	0	2	2	4	0	1	0	1	4	1	3
2	0.1.10	Lentisphaerae	Lentisphaerae	1	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.1.11	Proteobacteria	Proteobacteria	6	451	1989	1627	2553	704	869	1908	1641	213	61	170	135	11	48	118	36	70	119	143	192	258	79	256	179	794	1158	2210	2192	126	349	943	1854	3	14	8	4	9	20	8	10	115	847	1713	1127	14	63	29	78
2	0.1.12	Synergistetes	Synergistetes	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2	0.1.13	Tenericutes	Tenericutes	3	3	2	1	1	1	1	1	0	565	126	461	999	8	22	106	104	1	0	0	2	2	0	0	1	0	0	0	0	0	1	1	1	23	45	186	80	1209	763	1473	1509	2	3	1	3	1058	245	1185	1905
2	0.1.14	Thermotogae	Thermotogae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
2	0.1.15	Unknown_phylum	Unknown	1	7783	8133	1591	3218	14202	8856	7511	6718	5647	3011	1611	4170	4391	2576	694	683	7844	8438	6577	8934	12830	16901	7207	8502	21420	15614	4861	5007	12739	8851	5007	8916	3666	1669	861	747	544	170	254	330	16	51	24	33	36	30	12	28
2	0.1.16	Verrucomicrobia	Verrucomicrobia	2	5	5	10	3	6	4	10	5	4	3	5	5	10	27	16	7	6	5	5	2	35	38	50	23	8	6	13	16	575	111	129	171	4	3	9	9	0	3	7	5	18	64	57	94	7	32	5	18
2	0.2.1	unknown_unclassified	Unknown	1	12	10	19	10	19	9	10	15	126	15	24	7	23	25	31	21	70	18	20	12	11	18	30	20	14	32	14	44	32	31	10	29	18	28	40	16	17	107	15	27	46	15	16	7	23	27	10	118
