ASV	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1	3218_V6_D29	all_samp_sum	eleven_samp_sum	taxonomy	kingdom	phylum	class	order	family	genus	species	name
3f3a0eaeea9c0690b6ede1b17b4fd8ce	0.055696071	0.011612447	0.03956492	0.084652933	0	0	0	0	0	0	0.001499553	0	0.193025924	0.193025924	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__adolescentis	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	adolescentis	Bifidobacterium adolescentis
1a0d46cab086ec394378000a6a136d8d	0.0002373	0	0	0	0	0	0	0	0	0	0	0	0.0002373	0.0002373	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__adolescentis	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	adolescentis	Bifidobacterium adolescentis
37020b47521b3745084f867b8c1f7bc3	0	0	0	0	0	0	0	0	0	0.000205341	8.65E-05	8.87E-05	0.000380529	0.000291854	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__adolescentis	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	adolescentis	Bifidobacterium adolescentis
15e05255b2aa8ee3524ca61eb207bb18	0.052790591	0.020952894	0.02968485	0.054202865	0.096606131	0.039728901	0	0	0	0	0	0	0.293966231	0.293966231	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__aerofaciens	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	aerofaciens	Collinsella aerofaciens
4d68f1b3f706ef89175359f0216199f3	0	0	0	0	0	0	0	0.000210716	0	0	0	0	0.000210716	0.000210716	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__aldenense	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	aldenense	Clostridium aldenense
1d2b00ff8b7477d2b6c2b8043f7c9d31	0	0	0	0	0	0	0	0.000120409	0	0	0	0	0.000120409	0.000120409	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Peptostreptococcus; s__anaerobius	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	anaerobius	Peptostreptococcus anaerobius
59c755ebd91fb82876df4ab11bda8854	0	0	0	0	0	0	0.00033292	0	0	0	0	0	0.00033292	0.00033292	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__anginosus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	anginosus	Streptococcus anginosus
fb3a1838e4556844efebeb418e436360	0	0	0	0	0	0	0	0	0	0	0	4.73E-05	4.72936E-05	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__anginosus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	anginosus	Streptococcus anginosus
f633cf95435defb67b3de0a9b69bb3cf	0	0	0.005178109	0.009573757	0	0	0	0	0	0	0	0	0.014751866	0.014751866	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__bifidum	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	bifidum	Bifidobacterium bifidum
77c76da8a1d97a35f432b351cb88bd06	0	0	0	0	0	0	6.05E-05	0	0	0	0.025521239	0.047163565	0.072745335	0.02558177	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]; s__biforme	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	biformis	Holdemanella biformis
