Pathway	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1	3218_V6_D29
UNMAPPED	0.275639	0.296023	0.361374	0.346931	0.297766	0.298355	0.269423	0.282565	0.374768	0.431717	0.357076	0.358512
UNINTEGRATED	0.67501	0.65632	0.596338	0.609442	0.661553	0.658775	0.690316	0.676469	0.580874	0.525915	0.607492	0.598143
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.00036555	0.000331907	0.000252279	0.000341975	0.000329871	0.000342821	0.000400637	0.000374623	0.000194295	0.000105093	0.000232918	0.000311763
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	4.30E-07	0	0	0	0	0	2.47E-06	0	0	0	0	0
7ALPHADEHYDROX-PWY: cholate degradation (bacteria. anaerobic)	0	0	0	0	0	1.81E-06	6.53E-06	5.42E-06	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	0	0	0	9.68E-07	0	0	0	0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	0	0	0	0	0	4.64E-06	0	2.20E-06	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	0	0	0	0	0	0	2.37E-07	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	8.54E-05	0.000160519	6.06E-05	7.79E-05	0.00010559	0.000119818	7.13E-05	6.22E-05	5.77E-05	0.000273824	3.48E-05	4.89E-05
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.000348496	0.000435809	0.000336583	0.00035395	0.000430312	0.000436481	0.000323025	0.00029344	0.000325086	0.000303119	0.000345664	0.000398713
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.000243533	0.000187749	5.04E-05	7.46E-05	4.36E-05	8.53E-05	2.95E-05	1.87E-05	9.80E-05	4.84E-05	4.47E-05	4.96E-05
ARGDEG-PWY: superpathway of L-arginine. putrescine. and 4-aminobutanoate degradation	5.83E-07	0	0	0	0	0	2.25E-06	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	3.02E-06	3.28E-05	2.58E-05	3.30E-05	1.48E-06	5.24E-05	4.12E-06	1.21E-06	2.51E-06	1.57E-06	1.03E-05	1.76E-05
ARGORNPROST-PWY: arginine. ornithine and proline interconversion	0	0	0	0	0	0	0	2.18E-06	9.26E-07	0	0	2.12E-06
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.000534355	0.000454732	0.000238738	0.000238722	0.000664383	0.000594439	0.000280759	0.000355277	0.000371307	0.000322242	0.000364683	0.000325285
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.000340051	0.000275097	0.000107169	0.000107959	0.000486985	0.000464957	0.000129275	0.000175334	0.000201472	0.000166219	0.000195894	0.000158234
ARO-PWY: chorismate biosynthesis I	0.000814106	0.000756432	0.000713756	0.00080268	0.000792014	0.000721695	0.000886203	0.000851734	0.000754514	0.000626644	0.000613005	0.000757698
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.000163105	0.000130311	0.000273517	0.000158183	5.59E-05	0.000147114	6.78E-05	3.56E-05	0.000201213	0.000112034	0.000145715	0.000135584
AST-PWY: L-arginine degradation II (AST pathway)	2.94E-06	3.54E-06	0	0	3.57E-07	7.15E-07	1.70E-06	1.09E-06	0	0	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	1.49E-05	2.42E-05	2.74E-06	0	6.17E-06	2.61E-06	3.10E-06	5.89E-06	5.16E-06	0	0	1.34E-07
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.000467668	0.000437772	0.000704645	0.000571065	0.000449448	0.000474247	0.000411461	0.00041918	0.000521316	0.000559351	0.000542087	0.000580194
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.000643384	0.000598273	0.000623669	0.000574485	0.000415643	0.000518656	0.000547395	0.000501314	0.00054401	0.000482078	0.000465848	0.000586656
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0	0	0	0	0	0	0	0	0	0	0	0
CENTFERM-PWY: pyruvate fermentation to butanoate	1.16E-05	2.90E-06	0	2.92E-06	2.55E-06	0	0	0	4.11E-06	4.74E-06	0	2.97E-06
CITRULBIO-PWY: L-citrulline biosynthesis	1.21E-05	2.02E-05	6.07E-06	2.37E-06	3.38E-06	1.87E-05	0	1.82E-06	1.69E-05	5.90E-05	1.05E-05	4.86E-05
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.000736197	0.000664043	0.000654647	0.000687411	0.000732136	0.000650236	0.000773108	0.00073927	0.000639802	0.000522811	0.000503499	0.000641919
COA-PWY: coenzyme A biosynthesis I	0.000187782	0.000210921	0.000272977	0.000221823	0.000131497	0.000278824	0.000126278	0.000124227	0.000256261	0.000197485	0.000202646	0.000220928
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.000397702	0.000322566	0.000238087	0.000306538	0.00019362	0.000273385	0.000382039	0.00028249	0.000183068	8.93E-05	0.000204769	0.000268952
COLANSYN-PWY: colanic acid building blocks biosynthesis	2.02E-05	5.15E-05	1.98E-06	1.07E-05	7.61E-06	3.90E-05	1.23E-05	6.24E-06	3.25E-06	0	2.92E-06	1.64E-05
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.000788664	0.000728747	0.000688411	0.000775179	0.000752284	0.000666213	0.000864248	0.000834061	0.000707725	0.000601382	0.000575598	0.000724107
CRNFORCAT-PWY: creatinine degradation I	0	2.64E-06	0	0	0	1.41E-06	0	0	2.26E-05	3.31E-05	1.29E-05	3.51E-05
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.000188019	8.77E-05	0.000197852	0.000230611	0.000231067	0.000164215	0.000120771	0.000130192	0.000162059	0.000167665	0.000164177	0.000131005
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.000133918	0.000154821	7.91E-05	8.03E-05	8.07E-05	0.000137321	5.48E-05	0.000103409	0.000131735	0.000177241	0.000116133	0.000138223
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.000489278	0.000460037	0.00067741	0.000640123	0.000608308	0.000616011	0.000611793	0.000519308	0.000388331	0.000505146	0.000640393	0.000743292
ECASYN-PWY: enterobacterial common antigen biosynthesis	5.03E-06	3.69E-06	0	0	7.72E-07	5.84E-07	1.82E-06	1.56E-06	0	0	0	0
ENTBACSYN-PWY: enterobactin biosynthesis	3.54E-05	3.85E-05	0	0	8.91E-06	1.71E-05	1.74E-05	1.42E-05	0	0	0	0
ERGOSTEROL-SYN-PWY: superpathway of ergosterol biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0
FAO-PWY: fatty acid &beta;-oxidation I	3.57E-05	2.91E-05	6.18E-06	6.08E-06	1.32E-05	1.78E-05	8.49E-06	5.94E-06	3.24E-05	0.00011163	2.39E-06	1.05E-05
FASYN-ELONG-PWY: fatty acid elongation -- saturated	1.37E-05	2.16E-05	2.57E-06	0	6.97E-06	2.26E-06	2.69E-06	6.45E-06	5.09E-06	0	0	1.15E-07
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	1.40E-05	1.44E-05	1.67E-06	0	4.96E-06	1.42E-06	1.87E-06	4.19E-06	3.22E-06	0	0	7.20E-08
FERMENTATION-PWY: mixed acid fermentation	2.39E-05	2.28E-05	4.57E-06	0	3.09E-05	5.52E-06	1.16E-05	4.43E-05	1.10E-05	2.13E-05	6.60E-06	2.06E-05
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	5.20E-05	6.60E-05	4.11E-05	7.49E-05	2.00E-05	7.36E-05	6.50E-06	3.91E-06	4.77E-05	1.73E-05	4.96E-05	5.56E-05
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	1.97E-05	4.08E-05	4.91E-06	3.19E-06	8.18E-06	9.76E-06	1.01E-05	1.65E-05	1.42E-05	0	0	3.25E-06
FUCCAT-PWY: fucose degradation	7.96E-05	6.98E-05	7.98E-06	2.64E-05	2.75E-05	3.89E-05	6.27E-06	9.13E-06	4.84E-05	3.55E-05	2.49E-05	4.57E-06
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	6.85E-05	8.91E-05	0.000281714	8.94E-05	5.13E-05	0.000159267	6.45E-05	2.50E-05	0.0001162	2.88E-05	0.000182453	0.000182285
GALACTARDEG-PWY: D-galactarate degradation I	9.38E-07	4.84E-07	0	0	0	4.59E-07	2.03E-06	1.42E-07	2.53E-07	3.20E-07	0	5.79E-08
GALACTUROCAT-PWY: D-galacturonate degradation I	7.28E-05	9.53E-05	0.000317521	9.09E-05	4.10E-05	0.000161772	5.95E-05	2.08E-05	0.000105732	2.57E-05	0.000185071	0.000154807
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine. N-acetylmannosamine and N-acetylneuraminate degradation	0.000232809	0.000168302	0.000269065	0.000141449	0.000123867	0.000241633	0.000114017	5.95E-05	0.000184365	7.66E-05	0.000142777	0.000149659
GLUCARDEG-PWY: D-glucarate degradation I	9.20E-07	4.80E-07	0	0	0	4.47E-07	2.87E-06	1.43E-07	1.21E-07	2.52E-07	0	5.62E-08
