ASV	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1	3218_V6_D29	taxonomy
b264ac8ff5f9aff74f0b9aa084d9a9f0	20964	4889	5086	8376	3316	10302	17303	10392	1197	107	939	12012	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__faecis
8f6e2a91e20994c00566a5ff2b49506e	4098	1291	1526	2430	6338	5637	18485	13824	3042	3215	499	4608	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
c5be3cbb0c4c3ad43d1c9902233d0993	9328	3919	861	1136	6820	5696	7125	5586	2065	1283	335	1392	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__; s__
b6a1cfc87c3ffa7f96227d4a372d8dd7	0	0	318	625	816	2703	0	0	1268	9355	1987	25427	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Gemmiger; s__formicilis
8d478879084ed7c88660c8b0c4b24923	3872	1040	2226	1234	0	18	0	0	1896	3797	975	14593	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__bromii
38b7580c13cf081c9f279006c2dc70b9	9219	1356	623	687	6957	6682	16	2749	0	63	351	131	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__longum
df3d6113f855e22f2a6d44e60f01baa7	1816	881	50	87	5402	6027	3164	583	1393	8431	128	473	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
15e05255b2aa8ee3524ca61eb207bb18	9121	1245	1995	3731	7176	4754	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__aerofaciens
9df251784dde31e05f02b2ee1029d71c	3425	1661	839	1776	4899	8524	23	0	1218	852	267	1636	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
dfa833b266bd2993b86feab3617b34c3	0	64	0	193	0	2617	0	21951	0	0	0	142	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
bbae6ed124f4d6b48435a964a95c8418	3555	960	667	608	2667	9833	0	0	688	91	569	4628	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
3534b4be198dac95882f6e730b647c60	2487	572	146	153	1740	1081	5821	5064	873	1190	330	1572	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
22f4ee9a41a4d73580bf7ade8e9e017a	4130	1155	640	449	194	3445	5068	257	1006	71	510	2747	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
3f3a0eaeea9c0690b6ede1b17b4fd8ce	9623	690	2659	5827	0	0	0	0	0	0	52	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__adolescentis
93b58b0ba0d326e9c8d1a81f8672c16a	5543	1584	530	829	1351	3305	0	0	1734	1931	146	331	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__
c7d1ed6c70202259164edf3ee7806f0c	1614	1496	1035	4388	2648	2141	0	0	1292	548	137	1556	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
b978450e75ae38f47e8e4fadc48bbd0b	2128	554	609	1318	3680	1634	0	0	1488	4634	62	209	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
ad89a9d5fec4408fafb73e7225f44d08	5054	1296	684	1144	917	1246	0	0	1204	1652	134	1662	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__longicatena
