"Group.1"	"x"
"1"	"(1000,2000]"	37.247
"2"	"(2000,3000]"	29.828
"3"	"(3000,4000]"	26.5
"4"	"(4000,5000]"	39.666
"5"	"(5000,6000]"	42.592
"6"	"(6000,7000]"	30.64
"7"	"(7000,8000]"	33.111
"8"	"(8000,9000]"	32.807
"9"	"(9000,1e+04]"	42.941
"10"	"(1e+04,1.1e+04]"	40.816
"11"	"(1.1e+04,1.2e+04]"	47.497
"12"	"(1.2e+04,1.3e+04]"	57.38
"13"	"(1.3e+04,1.4e+04]"	60.895
"14"	"(1.4e+04,1.5e+04]"	47.021
"15"	"(1.5e+04,1.6e+04]"	43.885
"16"	"(1.6e+04,1.7e+04]"	35.695
"17"	"(1.7e+04,1.8e+04]"	42.129
"18"	"(1.8e+04,1.9e+04]"	48.98
"19"	"(1.9e+04,2e+04]"	36.524
"20"	"(2e+04,2.1e+04]"	37.96
"21"	"(2.1e+04,2.2e+04]"	42.136
"22"	"(2.2e+04,2.3e+04]"	40.931
"23"	"(2.3e+04,2.4e+04]"	29.828
"24"	"(2.4e+04,2.5e+04]"	40.805
"25"	"(2.5e+04,2.6e+04]"	49.656
"26"	"(2.6e+04,2.7e+04]"	41.001
"27"	"(2.7e+04,2.8e+04]"	45.48
"28"	"(2.8e+04,2.9e+04]"	39.02
"29"	"(2.9e+04,3e+04]"	47.631
"30"	"(3e+04,3.1e+04]"	46.545
"31"	"(3.1e+04,3.2e+04]"	34.413
"32"	"(3.2e+04,3.3e+04]"	49.491
"33"	"(3.3e+04,3.4e+04]"	48.904
"34"	"(3.4e+04,3.5e+04]"	58.899
"35"	"(3.5e+04,3.6e+04]"	39.889
"36"	"(3.6e+04,3.7e+04]"	40.737
"37"	"(3.7e+04,3.8e+04]"	39.749
"38"	"(3.8e+04,3.9e+04]"	34.348
"39"	"(3.9e+04,4e+04]"	47.417
"40"	"(4e+04,4.1e+04]"	51.171
"41"	"(4.1e+04,4.2e+04]"	41.997
"42"	"(4.2e+04,4.3e+04]"	44.962
"43"	"(4.3e+04,4.4e+04]"	41.149
"44"	"(4.4e+04,4.5e+04]"	42.977
"45"	"(4.5e+04,4.6e+04]"	28.956
"46"	"(4.6e+04,4.7e+04]"	35.844
"47"	"(4.7e+04,4.8e+04]"	39.018
"48"	"(4.8e+04,4.9e+04]"	46.633
"49"	"(4.9e+04,5e+04]"	33.325
"50"	"(5e+04,5.1e+04]"	46.774
"51"	"(5.1e+04,5.2e+04]"	39.877
"52"	"(5.2e+04,5.3e+04]"	33.663
"53"	"(5.3e+04,5.4e+04]"	34.876
"54"	"(5.4e+04,5.5e+04]"	37.325
"55"	"(5.5e+04,5.6e+04]"	47.358
"56"	"(5.6e+04,5.7e+04]"	42.313
"57"	"(5.7e+04,5.8e+04]"	43.068
"58"	"(5.8e+04,5.9e+04]"	44.144
"59"	"(5.9e+04,6e+04]"	38.887
"60"	"(6e+04,6.1e+04]"	33.284
"61"	"(6.1e+04,6.2e+04]"	40.173
"62"	"(6.2e+04,6.3e+04]"	49.477
"63"	"(6.3e+04,6.4e+04]"	44.141
"64"	"(6.4e+04,6.5e+04]"	39.979
"65"	"(6.5e+04,6.6e+04]"	40.208
"66"	"(6.6e+04,6.7e+04]"	41.306
"67"	"(6.7e+04,6.8e+04]"	48.554
"68"	"(6.8e+04,6.9e+04]"	45.452
"69"	"(6.9e+04,7e+04]"	42.324
"70"	"(7e+04,7.1e+04]"	36.738
"71"	"(7.1e+04,7.2e+04]"	45.219
"72"	"(7.2e+04,7.3e+04]"	36.367
"73"	"(7.3e+04,7.4e+04]"	46.348
"74"	"(7.4e+04,7.5e+04]"	46.083
"75"	"(7.5e+04,7.6e+04]"	41.788
"76"	"(7.6e+04,7.7e+04]"	34.566
"77"	"(7.7e+04,7.8e+04]"	41.044
"78"	"(7.8e+04,7.9e+04]"	32.653
"79"	"(7.9e+04,8e+04]"	43.979
"80"	"(8e+04,8.1e+04]"	40.078
"81"	"(8.1e+04,8.2e+04]"	42.998
"82"	"(8.2e+04,8.3e+04]"	52.227
"83"	"(8.3e+04,8.4e+04]"	41.182
"84"	"(8.4e+04,8.5e+04]"	44.211
"85"	"(8.5e+04,8.6e+04]"	34.102
"86"	"(8.6e+04,8.7e+04]"	38.553
"87"	"(8.7e+04,8.8e+04]"	42.135
"88"	"(8.8e+04,8.9e+04]"	41.306
"89"	"(8.9e+04,9e+04]"	46.507
"90"	"(9e+04,9.1e+04]"	49.12
"91"	"(9.1e+04,9.2e+04]"	44.966
"92"	"(9.2e+04,9.3e+04]"	43.048
"93"	"(9.3e+04,9.4e+04]"	36.016
"94"	"(9.4e+04,9.5e+04]"	42.605
"95"	"(9.5e+04,9.6e+04]"	40.094
"96"	"(9.6e+04,9.7e+04]"	45.378
"97"	"(9.7e+04,9.8e+04]"	45.272
"98"	"(9.8e+04,9.9e+04]"	43.573
"99"	"(9.9e+04,1e+05]"	42.002
"100"	"(1e+05,1.01e+05]"	26.487
"101"	"(1.01e+05,1.02e+05]"	41.658
"102"	"(1.02e+05,1.03e+05]"	43.703
"103"	"(1.03e+05,1.04e+05]"	47.25
"104"	"(1.04e+05,1.05e+05]"	33.357
"105"	"(1.05e+05,1.06e+05]"	42.317
"106"	"(1.06e+05,1.07e+05]"	44.398
"107"	"(1.07e+05,1.08e+05]"	44.772
"108"	"(1.08e+05,1.09e+05]"	33.637
"109"	"(1.09e+05,1.1e+05]"	43.543
"110"	"(1.1e+05,1.11e+05]"	44.098
"111"	"(1.11e+05,1.12e+05]"	44.817
"112"	"(1.12e+05,1.13e+05]"	32.855
"113"	"(1.13e+05,1.14e+05]"	37.514
"114"	"(1.14e+05,1.15e+05]"	40.522
"115"	"(1.15e+05,1.16e+05]"	35.003
"116"	"(1.16e+05,1.17e+05]"	37.189
"117"	"(1.17e+05,1.18e+05]"	37.664
"118"	"(1.18e+05,1.19e+05]"	37.499
"119"	"(1.19e+05,1.2e+05]"	39.522
"120"	"(1.2e+05,1.21e+05]"	45.34
"121"	"(1.21e+05,1.22e+05]"	45.893
"122"	"(1.22e+05,1.23e+05]"	33.931
"123"	"(1.23e+05,1.24e+05]"	41.116
"124"	"(1.24e+05,1.25e+05]"	41.263
"125"	"(1.25e+05,1.26e+05]"	43.177
"126"	"(1.26e+05,1.27e+05]"	51.069
"127"	"(1.27e+05,1.28e+05]"	41.255
"128"	"(1.28e+05,1.29e+05]"	41.155
"129"	"(1.29e+05,1.3e+05]"	39.91
"130"	"(1.3e+05,1.31e+05]"	40.172
