"row"	"column"	"cor"	"p"
"1"	"1103_V2_D1_CTAB_DNA"	"1103_V2_D1"	0.927572829975687	0
"2"	"1103_V2_D1_CTAB_DNA"	"1103_V2_D1_PowerFecal_DNA"	0.988661754618144	0
"3"	"1103_V2_D1"	"1103_V2_D1_PowerFecal_DNA"	0.961975459387698	0
"4"	"1103_V2_D1_CTAB_DNA"	"1103_V6_D29_CTAB_DNA"	0.973644619406908	0
"5"	"1103_V2_D1"	"1103_V6_D29_CTAB_DNA"	0.820487392477985	0
"6"	"1103_V2_D1_PowerFecal_DNA"	"1103_V6_D29_CTAB_DNA"	0.939580338294588	0
"7"	"1103_V2_D1_CTAB_DNA"	"1103_V6_D29"	0.994799308532782	0
"8"	"1103_V2_D1"	"1103_V6_D29"	0.914488970192174	0
"9"	"1103_V2_D1_PowerFecal_DNA"	"1103_V6_D29"	0.976900542534221	0
"10"	"1103_V6_D29_CTAB_DNA"	"1103_V6_D29"	0.973565777844534	0
"11"	"1103_V2_D1_CTAB_DNA"	"1103_V6_D29_PowerFecal_DNA"	0.984122050490001	0
"12"	"1103_V2_D1"	"1103_V6_D29_PowerFecal_DNA"	0.886662874682598	0
"13"	"1103_V2_D1_PowerFecal_DNA"	"1103_V6_D29_PowerFecal_DNA"	0.96742438825222	0
"14"	"1103_V6_D29_CTAB_DNA"	"1103_V6_D29_PowerFecal_DNA"	0.977377178566924	0
"15"	"1103_V6_D29"	"1103_V6_D29_PowerFecal_DNA"	0.988814440725335	0
"16"	"1103_V2_D1_CTAB_DNA"	"2103_V2_D1_CTAB_DNA"	0.954599318811378	0
"17"	"1103_V2_D1"	"2103_V2_D1_CTAB_DNA"	0.896302871715906	0
"18"	"1103_V2_D1_PowerFecal_DNA"	"2103_V2_D1_CTAB_DNA"	0.931446876342266	0
"19"	"1103_V6_D29_CTAB_DNA"	"2103_V2_D1_CTAB_DNA"	0.919636570570092	0
"20"	"1103_V6_D29"	"2103_V2_D1_CTAB_DNA"	0.970807920578519	0
"21"	"1103_V6_D29_PowerFecal_DNA"	"2103_V2_D1_CTAB_DNA"	0.961197491751373	0
"22"	"1103_V2_D1_CTAB_DNA"	"2103_V2_D1"	0.942490860815833	0
"23"	"1103_V2_D1"	"2103_V2_D1"	0.901060158082389	0
"24"	"1103_V2_D1_PowerFecal_DNA"	"2103_V2_D1"	0.920533036439366	0
"25"	"1103_V6_D29_CTAB_DNA"	"2103_V2_D1"	0.896429255895797	0
"26"	"1103_V6_D29"	"2103_V2_D1"	0.959982830517511	0
"27"	"1103_V6_D29_PowerFecal_DNA"	"2103_V2_D1"	0.944543324601616	0
"28"	"2103_V2_D1_CTAB_DNA"	"2103_V2_D1"	0.996447324401813	0
"29"	"1103_V2_D1_CTAB_DNA"	"2103_V2_D1_PowerFecal_DNA"	0.966847160503089	0
"30"	"1103_V2_D1"	"2103_V2_D1_PowerFecal_DNA"	0.884916023872771	0
"31"	"1103_V2_D1_PowerFecal_DNA"	"2103_V2_D1_PowerFecal_DNA"	0.941549908224693	0
"32"	"1103_V6_D29_CTAB_DNA"	"2103_V2_D1_PowerFecal_DNA"	0.947388201139739	0
"33"	"1103_V6_D29"	"2103_V2_D1_PowerFecal_DNA"	0.980507714852218	0
"34"	"1103_V6_D29_PowerFecal_DNA"	"2103_V2_D1_PowerFecal_DNA"	0.980960692375282	0
"35"	"2103_V2_D1_CTAB_DNA"	"2103_V2_D1_PowerFecal_DNA"	0.993514955391627	0
"36"	"2103_V2_D1"	"2103_V2_D1_PowerFecal_DNA"	0.985078151468917	0
"37"	"1103_V2_D1_CTAB_DNA"	"2103_V6_D29_CTAB_DNA"	0.97723197006903	0
"38"	"1103_V2_D1"	"2103_V6_D29_CTAB_DNA"	0.880032675689943	0
"39"	"1103_V2_D1_PowerFecal_DNA"	"2103_V6_D29_CTAB_DNA"	0.94611868002897	0
"40"	"1103_V6_D29_CTAB_DNA"	"2103_V6_D29_CTAB_DNA"	0.964661321932355	0
"41"	"1103_V6_D29"	"2103_V6_D29_CTAB_DNA"	0.983575952818594	0
"42"	"1103_V6_D29_PowerFecal_DNA"	"2103_V6_D29_CTAB_DNA"	0.971052042694527	0
"43"	"2103_V2_D1_CTAB_DNA"	"2103_V6_D29_CTAB_DNA"	0.977073082182557	0
"44"	"2103_V2_D1"	"2103_V6_D29_CTAB_DNA"	0.966350081213858	0
"45"	"2103_V2_D1_PowerFecal_DNA"	"2103_V6_D29_CTAB_DNA"	0.982125011759481	0
"46"	"1103_V2_D1_CTAB_DNA"	"2103_V6_D29"	0.874500533055595	0
"47"	"1103_V2_D1"	"2103_V6_D29"	0.878491102703899	0
"48"	"1103_V2_D1_PowerFecal_DNA"	"2103_V6_D29"	0.860936334228935	0
"49"	"1103_V6_D29_CTAB_DNA"	"2103_V6_D29"	0.805113047806699	0
"50"	"1103_V6_D29"	"2103_V6_D29"	0.895010488581967	0
