feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pseudomonadaceae	Timepoint	treatment	0.195815867337076	0.0417404907680759	12	12	0.00537897888173832	0.252812007441701
Akkermansiaceae	Timepoint	treatment	0.86642572003449	0.490312353733005	12	12	0.107659504516424	0.870483723318221
Campylobacteraceae	Timepoint	treatment	-0.223734954254422	0.124241549740361	12	12	0.131620900590066	0.870483723318221
Clostridiales.Family.XIII	Timepoint	treatment	0.173874749856009	0.0920441162173246	12	12	0.117505189403265	0.870483723318221
Enterobacteriaceae	Timepoint	treatment	0.0730158380805115	0.0266236169351709	12	12	0.0406699746958301	0.870483723318221
Lawsonellaceae	Timepoint	treatment	0.437132456522206	0.255797890786467	12	7	0.148167442266931	0.870483723318221
Micrococcaceae	Timepoint	treatment	-0.372677919902401	0.176703136438702	12	12	0.088727337838662	0.870483723318221
Oscillospiraceae	Timepoint	treatment	0.251563677516595	0.130813868198053	12	12	0.112485658204144	0.870483723318221
Actinomycetaceae	Timepoint	treatment	-0.151617058696084	0.127861287428357	12	12	0.2889791521318	0.905468010012974
Bacillaceae	Timepoint	treatment	0.0847219742860273	0.0691254632945136	12	12	0.274915353459259	0.905468010012974
Bacteroidaceae	Timepoint	treatment	0.440594525648929	0.306496058302115	12	12	0.18111551083279	0.905468010012974
Bifidobacteriaceae	Timepoint	treatment	-0.155046123384788	0.108591128750264	12	12	0.212709671428951	0.905468010012974
Eubacteriaceae	Timepoint	treatment	0.0599915034188374	0.0435346155981466	12	12	0.226675319138444	0.905468010012974
Lactobacillaceae	Timepoint	treatment	0.228657014825928	0.168141674103262	12	12	0.231965559766477	0.905468010012974
Paenibacillaceae	Timepoint	treatment	0.0739047198015697	0.0597573958378158	12	12	0.271100581255709	0.905468010012974
Pasteurellaceae	Timepoint	treatment	-0.446257050990361	0.434286597263195	12	12	0.328368675122861	0.907842807692615
Tannerellaceae	Timepoint	treatment	0.358360192991334	0.32200332067062	12	12	0.316370536677456	0.907842807692615
Christensenellaceae	Timepoint	treatment	0.0234530192865326	0.0380089200402993	12	12	0.5642192688138	0.914424332215469
Clostridiaceae	Timepoint	treatment	0.0594283044200257	0.0876343841004261	12	12	0.527791354675692	0.914424332215469
Coriobacteriaceae	Timepoint	treatment	-0.089061421206741	0.135766273785996	12	12	0.540811748564433	0.914424332215469
Enterococcaceae	Timepoint	treatment	0.0633687460331895	0.072741334230218	12	12	0.423517848552568	0.914424332215469
Fusobacteriaceae	Timepoint	treatment	0.0956917420766939	0.1124913546619	12	12	0.433795295955226	0.914424332215469
Hungateiclostridiaceae	Timepoint	treatment	0.146306809584872	0.176558657159925	12	8	0.445039497139324	0.914424332215469
Listeriaceae	Timepoint	treatment	0.0742511425967744	0.0964750950324538	12	12	0.4762807098504	0.914424332215469
Methanobacteriaceae	Timepoint	treatment	0.176383172749948	0.227889218765417	12	12	0.473926764527574	0.914424332215469
Rikenellaceae	Timepoint	treatment	0.347293224396055	0.395071254633116	12	12	0.419600155245395	0.914424332215469
Staphylococcaceae	Timepoint	treatment	0.0504666420909519	0.0603904559161554	12	12	0.441430905745161	0.914424332215469
Vallitaleaceae	Timepoint	treatment	0.0608285071853774	0.0890424689217476	12	12	0.52488066549653	0.914424332215469
Veillonellaceae	Timepoint	treatment	-0.120648465502794	0.187679825171782	12	12	0.54864140478316	0.914424332215469
Acidaminococcaceae	Timepoint	treatment	0.0228039884085701	0.130503252128409	12	12	0.868140175960874	0.92161467946604
Atopobiaceae	Timepoint	treatment	-0.0431520694110065	0.111754695003542	12	12	0.715283110661562	0.92161467946604
Clostridiales.unclassified	Timepoint	treatment	0.0186120702121386	0.042343349508404	12	12	0.67861025807085	0.92161467946604
Desulfovibrionaceae	Timepoint	treatment	-0.0585095374801477	0.246872376687213	12	12	0.822058545518354	0.92161467946604
Eggerthellaceae	Timepoint	treatment	0.0337243574971708	0.157861569005257	12	12	0.839271782578778	0.92161467946604
Erysipelotrichaceae	Timepoint	treatment	-0.0111541910035293	0.0695685681804454	12	12	0.878894464713009	0.92161467946604
Lachnospiraceae	Timepoint	treatment	-0.0140251392049529	0.0495883559213312	12	12	0.788641362650049	0.92161467946604
Leuconostocaceae	Timepoint	treatment	-0.17516308731717	0.341947999432404	12	9	0.630292758928488	0.92161467946604
Odoribacteraceae	Timepoint	treatment	0.130807079812671	0.321955690087067	12	12	0.701335275474928	0.92161467946604
Peptostreptococcaceae	Timepoint	treatment	0.0206497349444022	0.0722815931689873	12	12	0.786576849922894	0.92161467946604
Podoviridae	Timepoint	treatment	0.0747182036838889	0.14369886703438	12	9	0.625281182574781	0.92161467946604
Porphyromonadaceae	Timepoint	treatment	-0.159251159587734	0.285180991501001	12	9	0.600638235933225	0.92161467946604
Prevotellaceae	Timepoint	treatment	-0.0454634216259878	0.30800478897246	12	12	0.88842116872357	0.92161467946604
Saccharomycetaceae	Timepoint	treatment	-0.0429558160240144	0.331689969154643	12	9	0.902005856498677	0.92161467946604
Selenomonadaceae	Timepoint	treatment	-0.02799463948881	0.141981338074309	12	12	0.851458102899693	0.92161467946604
Streptococcaceae	Timepoint	treatment	-0.0646296988962659	0.205151872212622	12	12	0.759211666342845	0.92161467946604
Turicibacteraceae	Timepoint	treatment	-0.0894322367056617	0.223364996386777	12	12	0.705406447315321	0.92161467946604
Ruminococcaceae	Timepoint	treatment	-0.00647196111582608	0.162642126567525	12	12	0.969798452139233	0.969798452139233
