"Samples"	"1103_V2_D1"	"1103_V6_D29"	"2103_V2_D1"	"2103_V6_D29"	"2202_V2_D1"	"2202_V5_D22"	"3204_V2_D1"	"3204_V6_D29"	"3216_V2_D1"	"3216_V6_D29"	"3218_V2_D1"
"1"	"Lachnospiraceae"	0.517232915689655	0.421125924691578	0.341347493137548	0.466262098186012	0.309158150606183	0.330873091323161	0.736217256251535	0.616641562018499	0.362971532378222	0.214615317387123	0.302178928503022
"2"	"Bifidobacteriaceae"	0.180156126896397	0.0487326228590253	0.17481461141923	0.218550969993443	0.293136397405863	0.133240022509327	0.081557520425709	0.0780050611823402	0.160121343190393	0.202209605587867	0.196506890501965
"3"	"Oscillospiraceae"	0.0688643042086227	0.145361872797093	0.253753293527913	0.0909844964872705	0.0499126864409983	0.180915055312664	0.051757574493623	0.0376430596211293	0.152784435890833	0.0726919943456385	0.219209677702192
"4"	"Coriobacteriaceae"	0.0623798965387524	0.0283762938594325	0.0614281486067571	0.0659362596380219	0.148254614402965	0.0519587009036371	0	0	0.0599602083064024	0.178217409589307	0.0959628206209596
"5"	"Erysipelotrichaceae"	0.0272189049594556	0.0346466148893071	0.0125210743013773	0.0175741421394728	0.0556683493311134	0.028943158732026	0.0369879696725892	0.0425946264712778	0.0228780899986273	0.015133423049092	0.00862278342008623
"6"	"Enterobacteriaceae"	0.0249406371195012	0.0268048349094639	0.00163117285017943	0.00201744153993948	0.00593393773011868	0.00630074717044105	0.00955263832066868	0.00882408379026472	0.00279464961983232	0.00277795384983332	0.00230692117002307
"7"	"Selenomonadaceae"	0.0204717186795906	0.00554582790988908	0.000556782370061246	0.000703586269978893	0	0	0	0	0.000745960929955242	0.000928253209944305	0.000608582560006086
"8"	"Clostridiaceae"	0.0194162160796117	0.0216906782695662	0.00986230246108485	0.0141458595595756	0.0373334511307467	0.0163554351811449	0.0219909398215394	0.0262814508107884	0.0247899100085126	0.0376679840077399	0.0103350391501034
"9"	"Acidaminococcaceae"	0.0121774078097565	0.0121643695097567	0	0.000867369169973979	0	0	0.000923872520064671	0.00081134435002434	0.000887704169946738	0	0
"10"	"Peptostreptococcaceae"	0.00927528760981449	0.0103216370197936	0.00884649202097311	0.00810706250975679	0.0212940919204259	0.0144795991410136	0.0115837769608109	0.0152040029204561	0.0130958261992142	0.0252846245084829	0.0331394662403314
"11"	"Bacteroidaceae"	0.00748578943985028	0.176529494596469	0.0426221439146884	0.0414116236487576	0.00491373332009828	0.147246138410307	0.00543730531038061	0.0105267373703158	0.0382919246577025	0.00549652404967021	0.0229856191202299
"12"	"Eggerthellaceae"	0.00608676579987826	0.00251942755994961	0.00389312390042824	0.00372726470988818	0.00796332957015927	0.0112039957107843	0.00942108915065948	0.0304596838309138	0.00486268423970824	0.0111645267393301	0.0197281131801973
"13"	"Streptococcaceae"	0.00596133709988077	0.024548688429509	0.00717886534078968	0.0070301306997891	0.0179525192203591	0.00546051741038224	0.00717009623050191	0.0173819579605215	0.0322413696180655	0.00474695558971518	0.00555616661005556
"14"	"Veillonellaceae"	0.00494211008990116	0.00163343970996733	0.00125883597013847	0.00107754321996767	0.000640777350012816	0.000663583660046451	0.000721218950050485	0.000871929990026158	0.00385738116976856	0.000690985499958541	0.000738505690007385
"15"	"Bacillaceae"	0.00428161645991437	0.00415709856991686	0.00284484960031293	0.00434433569986967	0.0050952236501019	0.00323154743022621	0.00455164989031862	0.0058198929801746	0.00652902415960826	0.00719115997956853	0.00257484834002575
"16"	"Paenibacillaceae"	0.00385910824992282	0.00407748737991845	0.0054972737606047	0.00780387688976588	0.00589819842011797	0.00417038878029193	0.00425705726029799	0.00547718635016432	0.0087799311694732	0.0111046760293337	0.0049699412500497
"17"	"Christensenellaceae"	0.00359099068992818	0.00395955939992081	0.00511387378056253	0.00582824087982515	0.00188079433003762	0.00200161989014011	0.00161692832011318	0.00125278313003758	0.00381396705977116	0.00544855006967309	0.00248712553002487
"18"	"Lactobacillaceae"	0.00354374466992912	0.00245768187995085	0.00145434457015998	0.00194789303994156	0.0018402054400368	0.00149151996010441	0.00174193637012194	0.00258145130007744	0.00313206097981208	0.00817586100950945	0.00159256843001593
"19"	"Campylobacteraceae"	0.00291923407994162	0.00232831369995343	0.016235919031786	0.00484584917985462	0.000587431950011749	0	0	0	0.00171577105989705	0.00153349938990799	0.013498537130135
"20"	"Enterococcaceae"	0.00235549973995289	0.00285236841994295	0.00149732744016471	0.00287762657991367	0.00490935815009819	0.00321366122022496	0.00215439028015081	0.00300378283009011	0.00377573218977346	0.00312324642981261	0.00302181263003022
"21"	"Turicibacteraceae"	0.00194732623996105	0.00178584496996428	0	0	0.00340951956006819	0.000523079300036616	0	0.000564106000016923	0.00486969142970782	0.00164152424990151	0
"22"	"Eubacteriaceae"	0.00186775397996264	0.00240878681995182	0.00199970111021997	0.00307794154990766	0.00365669009007313	0.00249346428017454	0.00282055481019744	0.00337232845010117	0.00407315687975561	0.00358437048978494	0.00220052248002201
"23"	"Staphylococcaceae"	0.00120587076997588	0.000951808119980964	0.000618264200068009	0.000993550029970194	0.00107876838002158	0.000653347890045734	0.000977897320068453	0.0012701224600381	0.00198044475988117	0.0026649247498401	0.000534417730005344
"24"	"Pseudomonadaceae"	0.000977027389980459	0.00173789020996524	0.00301170295033129	0.00316789603990496	0.00126932532002539	0.0018228105501276	0.00114275775007999	0.00155367139004661	0.00336345052979819	0.00492604066970444	0.00427803549004278
"25"	"Flavobacteriaceae"	0.00091800641998164	0.00107725841997845	0.00094163325010358	0.00108197597996754	0.00104287094002086	0.000697087330048796	0.00108964144007627	0.00139870544004196	0.00247795515985132	0.00196873483988188	0.000544204620005442
"26"	"Planococcaceae"	0.000737140429985257	0.000714776789985704	0	0.000562502169983125	0.000737347280014747	0.0005085698400356	0.000573438110040141	0.000815696180024471	0.000948407749943095	0.00103354241993799	0
"27"	"Peptococcaceae"	0.000717686189985646	0.000812410189983752	0.000683736010075211	0.0010900008099673	0.000857690710017154	0.000584652190040926	0.000740963440051867	0.0010365515700311	0.001266701669924	0.00157953839990523	0.000846610350008466
"28"	"Listeriaceae"	0.000600156199987997	0.000514338399989713	0	0.000546528939983604	0.000615738750012315	0	0.000613048220042913	0.000966378300028991	0.00081648979995101	0.000982966229941022	0
"29"	"Moraxellaceae"	0.000580263139988395	0	0	0	0	0	0.000570530950039937	0.000760482340022815	0.000898595769946084	0.000724080199956555	0
"30"	"Fusobacteriaceae"	0.000576679459988466	0.000517707769989646	0	0.000526352229984209	0.000872344880017447	0	0.000592334680041463	0.00073634328002209	0.000900804559945952	0.00159742020990415	0
"31"	"Pasteurellaceae"	0.000573242059988535	0.00131076366997378	0.00122800438013508	0	0.000733446530014669	0	0.000629340460044054	0.000865538240025966	0.00197397072988156	0.00067250316995965	0
"32"	"Vibrionaceae"	0.000555250539988895	0.00058250938998835	0	0.00052765148998417	0.000552272480011045	0	0	0.000606944320018208	0.0008933403799464	0.000800144659951991	0
"33"	"Actinomycetaceae"	0.000542744239989145	0	0.000807787840088857	0.000606065519981818	0	0	0.000863669990060457	0.00214864819006446	0.00142687685991439	0.00110940669993344	0.00285121557002851
"34"	"Burkholderiaceae"	0.000532943979989341	0.000830118979983398	0.00121240722013336	0.00119623422996411	0.000525652500010513	0.000599636500041975	0	0	0.00140874956991547	0.00180512954989169	0.00123359631001234
"35"	"Weeksellaceae"	0.000508297049989834	0.000643393139987132	0.000587251240064598	0.000660863619980174	0.00059549702001191	0	0.000672947920047106	0.000920820080027625	0.00140242786991585	0.000903232009945806	0
"36"	"Coprobacillaceae"	0	0	0	0	0	0	0	0	0	0	0
"37"	"Rikenellaceae"	0	0.00193542936996129	0.00486304967053494	0.00253317042992401	0	0.00809416947056659	0	0	0.00363878734978167	0.000728483939956291	0.00181290800001813
"38"	"Tannerellaceae"	0	0.00162717110996746	0.00354019280038942	0.00235081578992948	0	0.00192690935013488	0	0	0.00346010403979239	0	0.00404701116004047
"39"	"Prevotellaceae"	0	0.00126586483997468	0.0126870208413956	0.0024799772899256	0	0.00118449974008291	0	0	0.0270635903883762	0.00167301759989962	0.000619806050006198
"40"	"Streptomycetaceae"	0	0.00076147783998477	0.00142351297015659	0.00131225029996063	0.00051600604001032	0.00073771382005164	0	0	0.00156443101990613	0.00251352979984919	0.00194381880001944
"41"	"Comamonadaceae"	0	0.000688213609986236	0.00111429019012257	0.000934242729971973	0	0	0	0	0.00107232834993566	0.00114730547993116	0.00118600871001186
"42"	"Sutterellaceae"	0	0	0	0	0	0	0	0	0	0	0
"43"	"Desulfovibrionaceae"	0	0	0.000573830430063121	0.000591773679982247	0	0	0	0	0.00124804121992512	0.000758242479954505	0.000555158740005552
"44"	"Odoribacteraceae"	0	0	0.00288656294031752	0.00121824518996345	0	0	0	0	0.00158590957990485	0	0
"45"	"Dysgonomonadaceae"	0	0	0.00144509509015896	0	0	0	0	0	0	0	0
"46"	"Atopobiaceae"	0	0	0.00142478251015673	0.00116979051996491	0.00165049191003301	0.000806778860056475	0	0	0.00135444385991873	0.00299740646982016	0.00214781696002148
"47"	"Micrococcaceae"	0	0	0.00116869889012856	0.000811424659975657	0	0	0	0	0.00189818645988611	0.00101759557993894	0.00146569809001466
"48"	"Corynebacteriaceae"	0	0	0.00113986228012538	0.000808291159975751	0.000540359380010807	0	0	0	0.000755405399954676	0.00107124102993573	0.00086295175000863
"49"	"Rhizobiaceae"	0	0	0.000752653690082792	0.000775809719976726	0	0	0	0	0.000812529219951248	0.00110893963993346	0.000882166370008822
"50"	"Sphingomonadaceae"	0	0	0.000648370350071321	0.000587417349982378	0	0	0	0	0.000622954299962623	0.000742962869955422	0.000596820340005968
"51"	"Mycobacteriaceae"	0	0	0.000625155970068767	0	0	0	0	0	0	0.000727683259956339	0.0006900202100069
"52"	"Microbacteriaceae"	0	0	0.000612641970067391	0.000532772089984017	0	0	0	0	0.000537420899967755	0.000713404489957196	0.000572128660005721
"53"	"Barnesiellaceae"	0	0	0.000601578870066174	0	0	0	0	0	0	0	0
"54"	"Xanthomonadaceae"	0	0	0.000550071960060508	0.000535370609983939	0	0	0	0	0.000597972149964122	0.000841045979949537	0.000713454860007135
"55"	"Akkermansiaceae"	0	0	0.000494212370054363	0.00168636009994941	0	0.0202599051014182	0	0.0750513924022515	0.000525843809968449	0.000540191059967588	0.0141628779901416
"56"	"Treponemataceae"	0	0	0	0.000558222259983253	0	0	0	0	0.000558061639966516	0.00067483847995951	0
"57"	"Yersiniaceae"	0	0	0	0.000517028149984489	0	0	0	0	0.000706583569957605	0.000712270199957264	0.000561892840005619
"58"	"Alcaligenaceae"	0	0	0	0.000515805319984526	0	0	0	0	0.000622725809962636	0.000772721419953637	0.000683465690006835
"59"	"Podoviridae"	0	0	0	0	0.00733082814014662	0.016786181551175	0	0	0.00133403160991996	0.00281111528983133	0.00584806716005848
"60"	"Peptoniphilaceae"	0	0	0	0	0.000591648980011833	0.000572411480040069	0.00052686292003688	0.000704724510021142	0.000667206219959967	0.000994175729940349	0
"61"	"Eubacteriales Family XIII. Incertae Sedis"	0	0	0	0	0.000537723740010755	0	0.000542791760037995	0.00108258577003248	0.000664311949960141	0.00133933485991964	0
"62"	"Leptotrichiaceae"	0	0	0	0	0.000512527000010251	0	0	0.000599192630017976	0.000644813679961311	0.000849252929949045	0
"63"	"Zoogloeaceae"	0	0	0	0	0	0	0	0	0	0	0
"64"	"Saccharomycetaceae"	0	0	0	0	0	0	0	0.000978549830029356	0	0	0
"65"	"Sphingobacteriaceae"	0	0	0	0	0	0	0	0.000632239340018967	0.00100179947993989	0.000604712389963717	0
"66"	"Thermoanaerobacterales Family III. Incertae Sedis"	0	0	0	0	0	0	0	0.000554382370016631	0.000546256049967225	0.000806283189951623	0
"67"	"Methanobacteriaceae"	0	0	0	0	0	0	0	0	0.00848372511949098	0.133177512392009	0
"68"	"Chitinophagaceae"	0	0	0	0	0	0	0	0	0.000685638169958862	0	0
"69"	"Morganellaceae"	0	0	0	0	0	0	0	0	0.00061632793996302	0.000578023109965319	0
"70"	"Pseudonocardiaceae"	0	0	0	0	0	0	0	0	0	0.000672436439959654	0.000520410820005204
"71"	"Roseobacteraceae"	0	0	0	0	0	0	0	0	0	0.00063600557996184	0.000602207620006022
"72"	"Arcobacteraceae"	0	0	0	0	0	0	0	0	0	0.000629266529962244	0
"73"	"Thermoanaerobacteraceae"	0	0	0	0	0	0	0	0	0	0.000625196419962488	0
"74"	"Mycoplasmataceae"	0	0	0	0	0	0	0	0	0	0.000614520699963129	0
"75"	"Oxalobacteraceae"	0	0	0	0	0	0	0	0	0	0.000566680169965999	0
"76"	"Acetobacteraceae"	0	0	0	0	0	0	0	0	0	0.000561609199966303	0.000510085200005101
"77"	"Bradyrhizobiaceae"	0	0	0	0	0	0	0	0	0	0.000538723139967677	0.000502273650005023
"78"	"Lawsonellaceae"	0	0	0	0	0	0	0	0	0	0.000531116699968133	0
"79"	"Micromonosporaceae"	0	0	0	0	0	0	0	0	0	0.000527046579968377	0
"80"	"Erwiniaceae"	0	0	0	0	0	0	0	0	0	0	0
"81"	"Neisseriaceae"	0	0	0	0	0	0	0	0	0	0	0
"82"	"Pectobacteriaceae"	0	0	0	0	0	0	0	0	0	0	0
