"Samples"	"1103_V2_D1"	"1103_V6_D29"	"2103_V2_D1"	"2103_V6_D29"	"2202_V2_D1"	"2202_V5_D22"	"3204_V2_D1"	"3204_V6_D29"	"3216_V2_D1"	"3216_V6_D29"	"3218_V2_D1"
"1"	"Firmicutes"	0.700237251043981	0.690182206479295	0.645179092706452	0.626013018243821	0.516757415374162	0.589176275176433	0.876464736335059	0.77362000703811	0.642724032374291	0.417598153508352	0.594274003464344
"2"	"Actinobacteria"	0.246327570680294	0.0817544517475474	0.242536426502425	0.287722448920141	0.444158533777792	0.195774332692169	0.0918418042636737	0.110597692491152	0.227571681390897	0.392201268007844	0.314700856781118
"3"	"Proteobacteria"	0.0384111818569271	0.0439446918686817	0.0382925695503829	0.0276348850319344	0.0184076300490796	0.0189321093492427	0.0189831206707593	0.0211412509483087	0.0323677253887053	0.0355875743907118	0.0383737129476976
"4"	"Bacteroidetes"	0.0105868375991531	0.180061060194598	0.0706488449507065	0.0524884634136742	0.00839420622958029	0.157333595993707	0.00891932977035677	0.0149362216788051	0.0801956959467922	0.0132686034702654	0.0310199035781388
"5"	"Cyanobacteria"	0.00103924958991686	0.000991417299970257	0.000715555080007156	0.00106945966007486	0.00092439849995378	0.000666624649973335	0.000768613000030744	0.00103197016991744	0.00152225943993911	0.00176420041003528	0.000927602769944344
"6"	"Fusobacteria"	0.000880677639929546	0.000867613789973971	0.000499130430004991	0.000935749410065502	0.00135387430993231	0.000740694059970372	0.00100788082004032	0.00130363557989571	0.0014926174499403	0.00236186436004724	0
"7"	"Spirochaetes"	0.00087025372993038	0.000910682499972679	0.000807856410008079	0.00104151688007291	0.000956555069952172	0.000679012389972839	0.000830462930033218	0.00112409613991007	0.00125606998994976	0.00155055117003101	0.000644640579961322
"8"	"Euryarchaeota"	0.000623292729950137	0.000719612669978412	0.000658064530006581	0.000772762240054093	0.000674824299966259	0.000486616979980535	0.000655122530026205	0.000848315579932135	0.00903021422963879	0.12947607890259	0.000549539619967028
"9"	"Ascomycota"	0.000536474409957082	0	0	0.000497188680034803	0.000547022529972649	0	0	0.0013424638898926	0.000826150849966954	0.000794630900015893	0
"10"	"Tenericutes"	0.000487210719961023	0	0	0	0.000563719209971814	0	0.000528929680021157	0.000714971869942802	0.000902131429963915	0.00180052787003601	0
"11"	"Verrucomicrobia"	0	0.000568263449982952	0.000662459840006624	0.00182450752012772	0	0.0198091712992076	0	0.0733393746141328	0.000685222699972591	0.000754954110015099	0.0138262227191704
"12"	"Uroviricota"	0	0	0	0	0.00726182064963691	0.0164015674093439	0	0	0.00142619880994295	0.00284159290005683	0.00568351753965899
