feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Acidaminococcaceae	Timepoint	treatment	-0.0915830728251887	0.05759944660068	11	5	0.186533922571238	0.860389475051139
Anaerovoracaceae	Timepoint	treatment	0.239720906194691	0.157506037763104	11	2	0.178169716420374	0.860389475051139
Bacteroidaceae	Timepoint	treatment	0.493931295754483	0.232359759564238	11	11	0.10260797343581	0.860389475051139
CAG.1000	Timepoint	treatment	0.0602059991327947	0.0543462043654001	11	1	0.296686025879703	0.860389475051139
Clostridiales.unclassified	Timepoint	treatment	0.315516321412868	0.166346056387214	11	9	0.125234456045455	0.860389475051139
Oscillospiraceae	Timepoint	treatment	0.0891890535680959	0.0616453698123367	11	5	0.221905112423501	0.860389475051139
Rikenellaceae	Timepoint	treatment	0.379094944077931	0.281724164409145	11	8	0.254840981758807	0.860389475051139
Streptococcaceae	Timepoint	treatment	-0.150985631741037	0.114123487892718	11	2	0.236644686736025	0.860389475051139
Tannerellaceae	Timepoint	treatment	0.180624727582935	0.142262402659968	11	7	0.276651929049557	0.860389475051139
Turicibacteraceae	Timepoint	treatment	-0.217608877712628	0.123951745182544	11	3	0.135598009785437	0.860389475051139
Bifidobacteriaceae	Timepoint	treatment	-0.177288937971422	0.202203276367129	11	11	0.403399100441818	0.945399133049511
Selenomonadaceae	Timepoint	treatment	-0.11008409647811	0.119042887028775	11	2	0.401664777045698	0.945399133049511
UBA1381	Timepoint	treatment	0.14915442688274	0.17801783797372	11	11	0.423799611367022	0.945399133049511
Akkermansiaceae	Timepoint	treatment	0.0909220451907423	0.151106257631508	11	3	0.600969336813794	0.99321501455164
Coriobacteriaceae	Timepoint	treatment	-0.145608035023628	0.338561686882965	11	8	0.684975872104579	0.99321501455164
Enterobacteriaceae	Timepoint	treatment	-0.164194338664173	0.215317070231924	11	5	0.484455283472837	0.99321501455164
Erysipelotrichaceae	Timepoint	treatment	0.0534573643995357	0.100994686948566	11	11	0.624563340404784	0.99321501455164
Lachnospiraceae	Timepoint	treatment	-0.020092060880896	0.0343897382227204	11	11	0.590008133565971	0.99321501455164
Ruminococcaceae	Timepoint	treatment	0.0244710313192638	0.0445335809728591	11	11	0.609641726696114	0.99321501455164
Sutterellaceae	Timepoint	treatment	0.0721356736585675	0.157531619041995	11	4	0.657870242885975	0.99321501455164
Clostridiaceae	Timepoint	treatment	0.0271962188685935	0.360241954810724	11	10	0.942768209361705	0.999984184748582
Desulfovibrionaceae	Timepoint	treatment	-0.0160990195973283	0.174371062373931	11	5	0.928461326361375	0.999984184748582
Eggerthellaceae	Timepoint	treatment	0.056113704786212	0.171971813938501	11	9	0.760035610057932	0.999984184748582
Eubacteriaceae	Timepoint	treatment	0.00556475512454402	0.115557710674899	11	10	0.963839155336003	0.999984184748582
Odoribacteraceae	Timepoint	treatment	0.00941661453536558	0.0818112286312224	11	4	0.913915261590895	0.999984184748582
Peptostreptococcaceae	Timepoint	treatment	0.0720686776583473	0.212899356094643	11	9	0.74864917714718	0.999984184748582
Prevotellaceae	Timepoint	treatment	-0.0116295329861261	0.290361186082717	11	5	0.969727188990239	0.999984184748582
UBA1820	Timepoint	treatment	-5.24297297963952e-11	1.87279696286047e-06	11	1	0.999984184748582	0.999984184748582
Veillonellaceae	Timepoint	treatment	0.028295174401674	0.274058028811521	11	9	0.922104824863307	0.999984184748582
