"Siolta_1103_V2_D1"	"Siolta_1103_V6_D29"	"Siolta_2103_V2_D1"	"Siolta_2103_V6_D29"	"Siolta_2202_V2_D1"	"Siolta_2202_V5_D22"	"Siolta_3204_V2_D1"	"Siolta_3204_V6_D29"	"Siolta_3216_V2_D1"	"Siolta_3216_V6_D29"	"Siolta_3218_V2_D1"
"Acidaminococcaceae"	0.0347635114197104	0.0253042873819245	0	0	0	0	0.00615900929611534	0.00575156208357571	0.0027351884456758	0	0
"Akkermansiaceae"	0	0	0	0	0	0.00917497795106226	0	0.0189918812506311	0	0	0.0165109137586984
"Anaerovoracaceae"	0	0	0	0	0	0.00141046088498874	0	0	0	0.0055706463252753	0
"Bacteroidaceae"	0.0168461087350964	0.0889225234743603	0.0737395809438317	0.112419571494215	0.00502650552379804	0.12116836403665	0.00443399099910689	0.00833962884499495	0.00478401904811619	0.00742252538596448	0.107111320513527
"Bifidobacteriaceae"	0.0573856851979038	0.00875520409325201	0.0541909436159119	0.0851318261141333	0.137433568751946	0.0385349068817848	0.0490341374670726	0.0370374401902094	0.0512856401982213	0.14795528000269	0.0739259578223547
"CAG-1000"	0	0	0	0	0	0	0	0	0	0.00414797012095801	0
"Clostridiaceae"	0.00250266342834756	0	0.0224387815847266	0.0199168614784833	0.0156421101276886	0.00168975999943351	0.00349712745194126	0.0620426904477683	0.0148779237764807	0.0557064603302518	0.0165644338291538
"Clostridiales unclassified"	0.00210390377036329	0.00199018019262339	0	0.00195660838823259	0	0.00371188620322561	0.00632011028342064	0.006078820302837	0.00167321151865914	0.0108261420521489	0.00445107856266964
"Coriobacteriaceae"	0.00294903623124763	0	0.00263012349054224	0.00475371566029771	0.0408349156277104	0.00185454658864619	0	0	0.00645381624478344	0.0439648835344537	0.00412401174902774
"Desulfovibrionaceae"	0	0.00308259444613881	0.00245835370358827	0.00486760423056233	0	0	0.00613174603961587	0	0	0	0.00236082576070824
"Eggerthellaceae"	0.00793055602958325	0.00221660798639265	0	0.00249644094724194	0.00968464621906991	0.0105770596850118	0.0120478645789275	0.0186537154533925	0	0.00287836716440064	0.0162522336603024
"Enterobacteriaceae"	0.0120728959267361	0.00531509176540275	0	0.00193155288974255	0.00125578918815741	0	0.00450834543837366	0	0	0	0
"Erysipelotrichaceae"	0.0226251468775973	0.025105665839318	0.00449752640237094	0.00720460098738588	0.0208561468369182	0.0349263630042861	0.0218477522088165	0.0238380288116029	0.0352842738407771	0.0161926913448948	0.00598234431112535
"Eubacteriaceae"	0.0267198746016376	0.0494684912099289	0.0288762014904208	0.0183269745395945	0.00158396876266254	0.0020919508267693	0.00169775512171972	0	0.0131910527633944	0.0205087410578053	0.0170401667765756
"Lachnospiraceae"	0.303726909918061	0.383338098152032	0.443858914966374	0.430057518196356	0.560202533680266	0.507344178418067	0.737844311783513	0.607685652692356	0.559668778304734	0.457285211561576	0.347799580014907
"Odoribacteraceae"	0	0	0.00912112289963138	0.00560332543495995	0	0.00151100853689305	0	0	0	0	0.00600315805360742
"Oscillospiraceae"	0	0	0.00438564005830354	0.00653265769921552	0	0	0	0	0.010930510507049	0.0218803926952753	0.0185327798061483
"Peptostreptococcaceae"	0	0.00403597414868223	0.00312179411300864	0	0.00993915282786981	0.0036169244567087	0.00185142045395042	0.00355075087436685	0.00578794611415094	0.0133413371065695	0.00272951907767288
"Prevotellaceae"	0	0.0348301406359042	0.0321083076755281	0.00704515713991023	0	0	0	0	0.126938707250419	0.0279462733642301	0
"Rikenellaceae"	0.00587426593421024	0.0231353485332126	0.0264698516270675	0.0203268603451536	0	0.0244302987642926	0	0	0.00178248240309008	0.00428303425739054	0.0538321794100918
"Ruminococcaceae"	0.303104968585124	0.278569613081796	0.252075815466552	0.221966853239764	0.184199158118928	0.201709867581643	0.106222466245255	0.167880708423904	0.154423762652002	0.152310348441481	0.225137742571664
"Selenomonadaceae"	0.174948373818022	0.0422307480216245	0	0	0	0	0	0	0	0	0
"Streptococcaceae"	0	0	0.00224088418979004	0	0	0	0	0	0.00451084143058576	0	0
"Sutterellaceae"	0	0.00345997399393836	0.00344484700521639	0	0	0	0	0.0032453101161826	0	0	0.00196537262447702
"Tannerellaceae"	0.00325852127564444	0.00917230762412515	0.00564948628183669	0.0033164396408222	0	0.00134622205753965	0	0	0	0.00217603372081067	0.0489410471093032
"Turicibacteraceae"	0.00172895055231829	0	0	0	0.00399173523275634	0	0	0	0.0016527232641188	0	0
"UBA1381"	0.00182120100402782	0.0090531347799232	0.00539577126361245	0.00444621609876371	0.00444047056932459	0.00920570046731269	0.0238454035580841	0.00733603707407702	0.00401912223774255	0.00560366153382324	0.00318443879306618
"UBA1820"	0	0	0	0	0	0	0	0	0	0	0.00912218340541391
"Veillonellaceae"	0.0196374266943693	0.00201401463942089	0.0232960532216868	0.0416992154751649	0.00490929853290335	0.025695523655685	0.0145585590740872	0.0295677734341016	0	0	0.0184287123895046
