feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lachnospiraceae	Timepoint	treatment	-0.0459995254985566	0.0208791322810523	11	11	0.0946424621773827	0.797337342820896
Erysipelotrichaceae	Timepoint	treatment	0.121635741253658	0.0567589718172647	11	11	0.0975680390628052	0.797337342820896
Enterobacteriaceae	Timepoint	treatment	-0.22774699203072	0.103291153234995	11	6	0.0914760921333287	0.797337342820896
Acidaminococcaceae	Timepoint	treatment	-0.0989301042098958	0.0558312347115567	11	5	0.150186980528158	0.797337342820896
Bacteroidaceae	Timepoint	treatment	0.445032052567318	0.256703774698264	11	11	0.161536430984312	0.797337342820896
Turicibacteraceae	Timepoint	treatment	-0.200495245383141	0.144044391514629	11	4	0.229549450055657	0.797337342820896
Pasteurellaceae	Timepoint	treatment	0.0602059991327971	0.0543462053921222	11	1	0.296665115826097	0.797337342820896
Rikenellaceae	Timepoint	treatment	0.242240647758497	0.214111503254606	11	8	0.330256779989419	0.797337342820896
Tannerellaceae	Timepoint	treatment	0.123903780269456	0.109395965502836	11	7	0.322835012181706	0.797337342820896
Podoviridae	Timepoint	treatment	0.060205999132796	0.0543462051859963	11	1	0.296665479602181	0.797337342820896
Zoogloeaceae	Timepoint	treatment	0.0689548548751301	0.0647055980502863	11	2	0.341716004066098	0.797337342820896
Methanobacteriaceae	Timepoint	treatment	0.16706785618774	0.153188214685852	11	2	0.327689967275302	0.797337342820896
Clostridiaceae	Timepoint	treatment	-0.0966249238967991	0.0967842527668192	11	11	0.370274987015242	0.797515356648214
Selenomonadaceae	Timepoint	treatment	-0.106904445830611	0.115521152035661	11	2	0.401452555316129	0.802905110632258
Bifidobacteriaceae	Timepoint	treatment	-0.168962078566873	0.215569404878609	11	11	0.46665351680429	0.812467498053604
Peptostreptococcaceae	Timepoint	treatment	0.106035680729992	0.172097229109713	11	10	0.568005907385508	0.812467498053604
Eggerthellaceae	Timepoint	treatment	0.120855500158843	0.170764621632539	11	11	0.516877150222836	0.812467498053604
Streptococcaceae	Timepoint	treatment	-0.167822992652963	0.292615151442716	11	7	0.580333927181146	0.812467498053604
Eubacteriaceae	Timepoint	treatment	0.0657240484395647	0.0995994891433584	11	11	0.543099299713073	0.812467498053604
Desulfovibrionaceae	Timepoint	treatment	-0.106084321206633	0.158489771774529	11	3	0.52007511741671	0.812467498053604
Oscillospiraceae	Timepoint	treatment	-0.0149018816661314	0.0390187410750421	11	11	0.720651133715726	0.890831281398406
Coriobacteriaceae	Timepoint	treatment	-0.102349183398409	0.253401689188107	11	9	0.702820326635946	0.890831281398406
Odoribacteraceae	Timepoint	treatment	0.026270429808139	0.0715211353659841	11	4	0.731754266862976	0.890831281398406
Coprobacillaceae	Timepoint	treatment	-0.0195902760598219	0.108636738109251	11	9	0.865857443799003	0.932461862552773
Prevotellaceae	Timepoint	treatment	-0.0443574934933301	0.243798962454136	11	5	0.863616430969046	0.932461862552773
Akkermansiaceae	Timepoint	treatment	0.0750327403930487	0.173829267445945	11	3	0.824844249665004	0.932461862552773
Veillonellaceae	Timepoint	treatment	-0.0182389336773158	0.229051823951983	11	10	0.939733213993767	0.939733213993767
Sutterellaceae	Timepoint	treatment	-0.00873198315660394	0.0936058461226547	11	2	0.927721105015296	0.939733213993767
