"Samples"	"1103_V2_D1"	"1103_V6_D29"	"2103_V2_D1"	"2103_V6_D29"	"2202_V2_D1"	"2202_V5_D22"	"3204_V2_D1"	"3204_V6_D29"	"3216_V2_D1"	"3216_V6_D29"	"3218_V2_D1"
"1"	"Lachnospiraceae"	0.436304094495637	0.356859142807137	0.40400326402828	0.426597967765872	0.468465719885946	0.425936050304259	0.645370914680639	0.5757584381	0.454621681550008	0.368566641588943	0.28312380897735
"2"	"Bifidobacteriaceae"	0.0497577624795024	0.00795571980015911	0.0566656023139666	0.0943289592724537	0.151837325995445	0.0404679033704047	0.0634468497680966	0.04386049785	0.0528797870158168	0.162222902595133	0.0721215635242303
"3"	"Oscillospiraceae"	0.249240741797508	0.247592779604952	0.247186179317303	0.189652867684828	0.183804794894486	0.225879032902259	0.208089109493757	0.2503135061	0.198385064321822	0.173725660294788	0.265943302878725
"4"	"Coriobacteriaceae"	0.021599863749784	0.0108942978902179	0.0179703937412579	0.0254811881879615	0.122585438296322	0.0121378449201214	0	0	0.0209790044223077	0.0985239899470443	0.0248271608580138
"5"	"Erysipelotrichaceae"	0.005399544359946	0.00559360918011187	0.00180187735012613	0.00258720610979302	0.00495838126985125	0.00824225890008242	0.00746044376977619	0.01282481792	0.00662033616072824	0.0058832034198235	0.00240423676980766
"6"	"Enterobacteriaceae"	0.0337884666896621	0.0170198506303404	0	0	0.00482795883985516	0.00142182575001422	0.0101425744296957	0.00456457277	0	0	0
"7"	"Selenomonadaceae"	0.0992828150490072	0.0250224377105004	0	0	0	0	0	0	0	0	0
"8"	"Clostridiaceae"	0.0067300379599327	0.00563813309011276	0.0409486303728664	0.019687470918425	0.0165403587495038	0.00800047635008	0.0130931071696072	0.0168638767	0.0336133060536975	0.0465298242486041	0.0238595571180912
"9"	"Acidaminococcaceae"	0.0186269103698137	0.013549328980271	0	0	0	0	0.00437949029986862	0.00372602698	0.00345110189037962	0	0
"10"	"Peptostreptococcaceae"	0.00160198848998398	0.00412900686008258	0.00107833113007548	0	0.011565674679653	0.00611493332006115	0.00263865707992084	0.00292352728	0.00567761924062454	0.0213619605293591	0.00167299424986616
"11"	"Bacteroidaceae"	0.0315794088796842	0.226230676004525	0.120987033108469	0.158963425487283	0.00948590272971542	0.202070669102021	0.00916725418972498	0.02088775818	0.0139109961515302	0.0124361607596269	0.197684767984185
"12"	"Eggerthellaceae"	0.00643830741993562	0.00221447871004429	0.00139441225009761	0.00323358460974131	0.00702185040978934	0.0108170626301082	0.00904817438972856	0.01411678552	0.00208913649022981	0.00752888446977413	0.0128336755589733
"13"	"Streptococcaceae"	0	0.00323852865006477	0.00683659789047856	0.00318112980974551	0.00385910650988423	0	0.00130798760996076	0.00284005213	0.0142805032915709	0	0
"14"	"Veillonellaceae"	0.0148057462498519	0.00262222399005244	0.0182316444512762	0.0314018122274879	0.00392431772988227	0.0168526046701685	0.00940541377971784	0.01605947984	0.00281630758030979	0	0.0123037093890157
"15"	"Bacillaceae"	0	0	0	0	0	0	0	0	0	0	0
"16"	"Paenibacillaceae"	0	0	0	0	0	0	0	0	0	0	0
"17"	"Christensenellaceae"	0	0	0	0	0	0	0	0	0	0	0
"18"	"Lactobacillaceae"	0	0	0	0	0	0	0	0	0	0	0
"19"	"Campylobacteraceae"	0	0	0	0	0	0	0	0	0	0	0
"20"	"Enterococcaceae"	0	0	0	0	0	0	0	0	0	0	0
"21"	"Turicibacteraceae"	0.00105731239998943	0.000902195030018044	0	0	0.0025199476399244	0	0	0	0.00119142364013106	0	0
"22"	"Eubacteriaceae"	0.0120891110298791	0.0155739952203115	0.0237447870816621	0.0113353130790932	0.00247802614992566	0.00307821666003078	0.00256116070992317	0.00443746289	0.0125135012213765	0.0207496140893775	0.00899649889928028
"23"	"Staphylococcaceae"	0	0	0	0	0	0	0	0	0	0	0
"24"	"Pseudomonadaceae"	0	0	0	0	0	0	0	0	0	0	0
"25"	"Flavobacteriaceae"	0	0	0	0	0	0	0	0	0	0	0
"26"	"Planococcaceae"	0	0	0	0	0	0	0	0	0	0	0
"27"	"Peptococcaceae"	0	0	0	0	0	0	0	0	0	0	0
"28"	"Listeriaceae"	0	0	0	0	0	0	0	0	0	0	0
"29"	"Moraxellaceae"	0	0	0	0	0	0	0	0	0	0	0
"30"	"Fusobacteriaceae"	0	0	0	0	0	0	0	0	0	0	0
"31"	"Pasteurellaceae"	0	0.00142710850002854	0	0	0	0	0	0	0	0	0
"32"	"Vibrionaceae"	0	0	0	0	0	0	0	0	0	0	0
"33"	"Actinomycetaceae"	0	0	0	0	0	0	0	0	0	0	0
"34"	"Burkholderiaceae"	0	0	0	0	0	0	0	0	0	0	0
"35"	"Weeksellaceae"	0	0	0	0	0	0	0	0	0	0	0
"36"	"Coprobacillaceae"	0.00490714368995093	0.00539676663010794	0.00145676838010197	0.0021100366298312	0.00612519621981624	0.00768471555007685	0.00630744890981078	0.00566113264	0.00204650105022511	0	0
"37"	"Rikenellaceae"	0.00396281362996037	0.0147256975602945	0.0225503445215785	0.0172170190386226	0	0.019602430100196	0	0	0.00423748887046612	0.00563018527983109	0.0390845434468732
"38"	"Tannerellaceae"	0.00282793125997172	0.00827207390016544	0.00278774938019514	0.0022487880398201	0	0	0	0	0.00126248271013887	0.0026832680599195	0.0292035365476637
"39"	"Prevotellaceae"	0	0.0213550735004271	0.0233620494116353	0.0072387624094209	0	0	0	0	0.163393212417973	0.0353481231989396	0
"40"	"Streptomycetaceae"	0	0	0	0	0	0	0	0	0	0	0
"41"	"Comamonadaceae"	0	0	0	0	0	0	0	0	0	0	0
"42"	"Sutterellaceae"	0	0.00196608215003932	0.00254800079017836	0	0	0	0	0	0	0	0
"43"	"Desulfovibrionaceae"	0	0.00182079360003642	0	0	0	0	0.00467813486985966	0	0	0	0.00154742735987621
"44"	"Odoribacteraceae"	0	0	0.00644633448045124	0.00473446872962124	0	0.00183863000001839	0	0	0	0	0.00351033341971917
"45"	"Dysgonomonadaceae"	0	0	0	0	0	0	0	0	0	0	0
"46"	"Atopobiaceae"	0	0	0	0	0	0	0	0	0	0	0
"47"	"Micrococcaceae"	0	0	0	0	0	0	0	0	0	0	0
"48"	"Corynebacteriaceae"	0	0	0	0	0	0	0	0	0	0	0
