"Samples"	"1103_V2_D1"	"1103_V6_D29"	"2103_V2_D1"	"2103_V6_D29"	"2202_V2_D1"	"2202_V5_D22"	"3204_V2_D1"	"3204_V6_D29"	"3216_V2_D1"	"3216_V6_D29"	"3218_V2_D1"
"1"	"Firmicutes"	0.893969078482121	0.766563081284669	0.799079657055936	0.775760117915515	0.790233380523707	0.775432776646526	0.94497334989055	0.936377154737455	0.806440988	0.762250791392378	0.69034583537929
"2"	"Actinobacteria"	0.0532071896689359	0.0150270982996995	0.0551584014738611	0.0825604103816512	0.197611805205928	0.0444847193626691	0.0392334215696077	0.0327572119513103	0.05076992453	0.171699572298283	0.0763133093377106
"3"	"Proteobacteria"	0.0240880255895182	0.0163781443196724	0.003928502260275	0.00337446640006749	0.00430625049012919	0.00199944711011997	0.0103691071898963	0.00808915767032357	0.00062623073	0.00103791594998962	0.00465071938986048
"4"	"Bacteroidetes"	0.0287357062594253	0.202031676095959	0.141833439209928	0.137696220602754	0.00784856378023546	0.171357860510281	0.00542412134994576	0.0123762720704951	0.1384295038	0.0419661197195803	0.214441123293567
"5"	"Cyanobacteria"	0	0	0	0	0	0	0	0	0	0	0
"6"	"Fusobacteria"	0	0	0	0	0	0	0	0	0	0	0
"7"	"Spirochaetes"	0	0	0	0	0	0	0	0	0	0	0
"8"	"Euryarchaeota"	0	0	0	0	0	0	0	0	0.00373335294	0.0230456006397695	0
"9"	"Ascomycota"	0	0	0	0	0	0	0	0	0	0	0
"10"	"Tenericutes"	0	0	0	0	0	0	0	0	0	0	0
"11"	"Verrucomicrobia"	0	0	0	0.000608784700012176	0	0.00574453786034467	0	0.010400203570416	0	0	0.0142490125995725
"12"	"Uroviricota"	0	0	0	0	0	0.000980658510058839	0	0	0	0	0
