feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Cluster.containing.Glutathione.synthetase	Timepoint	treatment	6.57697662497552e-05	1.02196407431619e-05	11	11	4.99825497752189e-09	3.083923321131e-06
Proline..4.hydroxyproline.uptake.and.utilization	Timepoint	treatment	2.90680481288215e-05	7.37341057535393e-06	11	11	9.61798502428926e-05	0.0296714837999324
Tetracycline.resistance..ribosomal.protection.type	Timepoint	treatment	0.000146441917783036	2.07074826103456e-05	11	11	0.00204622840091125	0.420840974454081
Efflux.ABC.transporter.MdlAB	Timepoint	treatment	-2.04911522122498e-05	6.36230529525826e-06	11	11	0.00323277609987999	0.498655713406488
Ribosome.LSU..bacterial	Timepoint	treatment	-0.000266295589902828	0.00069340730251105	11	11	0.709865220274961	0.999075791261131
Cell.division.cluster	Timepoint	treatment	-0.000564537204173572	0.000345419909032248	11	11	0.183133841750177	0.999075791261131
Heat.shock.dnaK.gene.cluster.extended	Timepoint	treatment	-0.000161007355477265	0.000244646072024845	11	11	0.540688423755792	0.999075791261131
Glycogen.metabolism	Timepoint	treatment	-0.000965583551366998	0.000313010221406211	11	11	0.0381939797559732	0.999075791261131
DNA.repair..bacterial	Timepoint	treatment	-5.06519435926992e-05	0.000387461346684634	11	11	0.901189017318452	0.999075791261131
Glycolysis.and.Gluconeogenesis	Timepoint	treatment	-0.000265750309773756	0.000388766042610127	11	11	0.525103583951927	0.999075791261131
Universal.GTPases	Timepoint	treatment	-1.8056334070653e-05	0.0003253484475536	11	11	0.958065527581317	0.999075791261131
DeNovo.Purine.Biosynthesis	Timepoint	treatment	-2.8920819360986e-05	0.000547676903336005	11	11	0.959907796825876	0.999075791261131
Galactose.utilization	Timepoint	treatment	-0.000572119769658971	0.000442152434859899	11	11	0.260278927194753	0.999075791261131
Branched.Chain.Amino.Acid.Biosynthesis	Timepoint	treatment	-0.000408768652545809	0.000353893168826186	11	11	0.27780978943627	0.999075791261131
Glycerolipid.and.Glycerophospholipid.Metabolism.in.Bacteria	Timepoint	treatment	0.000200433909924904	0.000744711705721639	11	11	0.802046623209047	0.999075791261131
Lactose.utilization	Timepoint	treatment	0.000158376393845107	0.000845856840188136	11	11	0.859903308562355	0.999075791261131
De.Novo.Pyrimidine.Synthesis	Timepoint	treatment	-0.000262587985947442	0.000246441442902132	11	11	0.336950584593607	0.999075791261131
Ribosomal.proteins..single.copy	Timepoint	treatment	-3.03302723690212e-05	0.000366744177220475	11	11	0.937631694288755	0.999075791261131
Translation.termination.factors..bacterial	Timepoint	treatment	-0.000227812829566486	0.000394273042904763	11	11	0.591056083187734	0.999075791261131
RNA.pseudouridine.synthases	Timepoint	treatment	-6.58080042324094e-05	0.000169587604411116	11	11	0.716749459541541	0.999075791261131
High.affinity.phosphate.transporter.and.control.of.PHO.regulon	Timepoint	treatment	-0.000390972135979732	0.000475394922318134	11	11	0.454198102103702	0.999075791261131
Folate.Biosynthesis	Timepoint	treatment	-0.00031983050766888	0.000542449143976253	11	11	0.582762721296563	0.999075791261131
Cell.division.related.cluster	Timepoint	treatment	-0.000118124608485186	0.000202986632628249	11	11	0.591135494403455	0.999075791261131
RNA.processing.and.degradation..bacterial	Timepoint	treatment	3.22306011641132e-06	0.000208979082350176	11	11	0.988319415570776	0.999075791261131
Pyridoxin..Vitamin.B6..Biosynthesis	Timepoint	treatment	-0.000168613623566835	0.000369513312771701	11	11	0.668249060345299	0.999075791261131
NAD.and.NADP.cofactor.biosynthesis.global	Timepoint	treatment	-0.000193735745103312	0.000119356148632601	11	11	0.17927173445028	0.999075791261131
DNA.repair..bacterial.RecFOR.pathway	Timepoint	treatment	-8.38522841031548e-06	0.00024360666684444	11	11	0.973987349516872	0.999075791261131
Fermentations..Mixed.acid	Timepoint	treatment	0.000207768106832906	0.000184558230006595	11	11	0.32214669564801	0.999075791261131
Lysine.DAP.biosynthetic.pathway	Timepoint	treatment	0.000117269867548624	0.000456784832476316	11	11	0.808479566726188	0.999075791261131
Pentose.phosphate.pathway	Timepoint	treatment	0.000195081275438048	0.000332538895745007	11	11	0.582815164738834	0.999075791261131
DNA.Repair.Base.Excision	Timepoint	treatment	-0.000219502282912639	0.00014700442374012	11	11	0.2070379089085	0.999075791261131
Biotin.synthesis...utilization	Timepoint	treatment	-0.000394874443948031	0.000266073897356513	11	11	0.206884482557492	0.999075791261131
Nonmevalonate.Branch.of.Isoprenoid.Biosynthesis	Timepoint	treatment	-0.000116516823593298	0.000129718565800071	11	11	0.413932059597668	0.999075791261131
Polyamine.Metabolism	Timepoint	treatment	-0.000742920890479557	0.000188650804699356	11	11	0.0165086320611933	0.999075791261131
Pyruvate.metabolism.I..anaplerotic.reactions..PEP	Timepoint	treatment	0.00027984618292236	0.000421703792364689	11	11	0.52357405240759	0.999075791261131
Chorismate.Synthesis	Timepoint	treatment	-0.000159379396280657	0.000420419623543118	11	11	0.722778775103794	0.999075791261131
Folate.biosynthesis.cluster	Timepoint	treatment	3.50739372130169e-05	0.000218463861008131	11	11	0.879436748319992	0.999075791261131
YrdC.YciO.Sua5.and.associated.protein.families	Timepoint	treatment	0.00022425747954966	0.000205217637419548	11	11	0.329695691388215	0.999075791261131
DNA.repair..bacterial.RecBCD.pathway	Timepoint	treatment	-0.00042677870058096	0.000388709560521812	11	11	0.335053905142754	0.999075791261131
DNA.processing.cluster	Timepoint	treatment	1.46088328129845e-06	0.000175854635219471	11	11	0.993718416106213	0.999075791261131
Histidine.Biosynthesis....gjo	Timepoint	treatment	-7.97400733635464e-05	0.000261511295119921	11	11	0.767360581888044	0.999075791261131
Nudix.proteins..nucleoside.triphosphate.hydrolases.	Timepoint	treatment	-0.000177630695432502	0.000233041172537772	11	11	0.49419925982511	0.999075791261131
F0F1.type.ATP.synthase	Timepoint	treatment	-0.000571093634504219	0.000192495262352307	11	11	0.0403407583767816	0.999075791261131
Cysteine.synthesis	Timepoint	treatment	-0.00017603293411719	0.000279317479956392	11	11	0.556494946430866	0.999075791261131
DNA.internalization.related.cluster	Timepoint	treatment	-0.00058772859116805	0.000298610562787995	11	11	0.120962272333316	0.999075791261131
Fatty.acid.synthesis	Timepoint	treatment	1.97012283307904e-05	0.000223382738678027	11	11	0.9335146822329	0.999075791261131
Proline.biosynthesis..for.review.	Timepoint	treatment	-0.000211428106033581	0.000303808591513133	11	11	0.518628014442547	0.999075791261131
Antibiotic.targets.in.DNA.processing	Timepoint	treatment	-9.46180586277615e-05	0.000238542298841177	11	11	0.700865634983424	0.999075791261131
Cobalamin.synthesis.from.Cob.II.yrinate.a.c.diamide	Timepoint	treatment	-0.000434080074369213	0.000186048890254917	11	11	0.0801524570128617	0.999075791261131
Copper.Transport.System	Timepoint	treatment	1.79389060658851e-05	0.00017840878046403	11	11	0.924357339964741	0.999075791261131
Ribosomal.proteins..zinc.requirement	Timepoint	treatment	1.27411982703646e-05	0.000252807413161028	11	11	0.961797287058018	0.999075791261131
Antibiotic.targets.in.transcription	Timepoint	treatment	-4.47736067211687e-05	0.000339128780371822	11	11	0.897868671073808	0.999075791261131
