"Group.1"	"1103_V2_D1_CTAB_DNA"	"1103_V2_D1_PowerFecal_DNA"	"1103_V2_D1_R1"	"1103_V2_D1_R2"	"1103_V6_D29_CTAB_DNA"	"1103_V6_D29_PowerFecal_DNA"	"1103_V6_D29_R1"	"1103_V6_D29_R2"	"2103_V2_D1_CTAB_DNA"	"2103_V2_D1_PowerFecal_DNA"	"2103_V2_D1_R1"	"2103_V2_D1_R2"	"2103_V6_D29_CTAB_DNA"	"2103_V6_D29_PowerFecal_DNA"	"2103_V6_D29_R1"	"2103_V6_D29_R2"	"2202_V2_D1_CTAB_DNA"	"2202_V2_D1_PowerFecal_DNA"	"2202_V2_D1_R1"	"2202_V2_D1_R2"	"2202_V5_D22_CTAB_DNA"	"2202_V5_D22_PowerFecal_DNA"	"2202_V5_D22_R1"	"2202_V5_D22_R2"	"3204_V2_D1_CTAB_DNA"	"3204_V2_D1_PowerFecal_DNA"	"3204_V2_D1_R1"	"3204_V2_D1_R2"	"3204_V6_D29_CTAB_DNA"	"3204_V6_D29_PowerFecal_DNA"	"3204_V6_D29_R1"	"3204_V6_D29_R2"	"3216_V2_D1_CTAB_DNA"	"3216_V2_D1_PowerFecal_DNA"	"3216_V2_D1_R1"	"3216_V2_D1_R2"	"3216_V6_D29_CTAB_DNA"	"3216_V6_D29_PowerFecal_DNA"	"3216_V6_D29_R1"	"3216_V6_D29_R2"	"3218_V2_D1_CTAB_DNA"	"3218_V2_D1_PowerFecal_DNA"	"3218_V2_D1_R1"	"3218_V2_D1_R2"
"1"	"Acetobacteraceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.07814269535674e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2"	"Acholeplasmataceae"	4.83021784282471e-05	0	0	0	0	0	0	0	0.000106863295129705	0.0001899214991137	0.000299805126667666	8.54408749145591e-05	0	0	7.07814269535674e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.15995872033024e-05	0	0	4.55954769286887e-05	0.000342661336379212	0.000509872995272087	0.00020116676725005	0.00424857324032974	0.00196167194809114	0.00664001626126431	0.00729780396357793	0	0	0	0
"3"	"Acidaminococcaceae"	0.0128000772834855	0.0240539747726606	0.0291472210436996	0.0300082913451113	0.00502220561988959	0.0218816682832202	0.0126535030420664	0.00993489269351338	0.000961769656167348	0.000379842998227399	0.00064957777444661	0.00093984962406015	0.00077084021583526	0.000771172181716209	0.00247734994337486	0.00274862568715642	0	0	3.52050695300123e-05	0	3.3907500339075e-05	0	4.44938820912125e-05	0	0.000612591540667725	0.00469483568075117	0.0111075208013571	0.00637409018476248	0.000120274225233532	0.00846233230134159	0.00226833258961773	0.0054016472349984	0.00296370600036476	0.00576813249571673	0.00954853063873181	0.00911956011533561	0.000190234622701332	0.000754489210804285	0.00162612643133004	0.00267809319764328	0	5.67022000453618e-05	5.2216594433711e-05	0
"4"	"Acidobacteriaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.71102227298686e-05	0	0	0	7.54489210804285e-05	6.77552679720848e-05	0	0	0	0	0
"5"	"Actinobacteria unclassified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.55954769286887e-05	0	0	0	0	0	6.77552679720848e-05	0	0	0	0	0
"6"	"Actinomycetaceae"	0.000483021784282471	4.19058793948791e-05	8.48536274925753e-05	0.000159448944447988	0.000166023326277342	3.87972841901067e-05	3.7325967675712e-05	9.6455268869062e-05	0.00651866100291203	0.000633071663712332	0.00104931794333683	0.00176577808156756	0.000991080277502478	0.000210319685922602	0.000141562853907135	0.000187406296851574	0.000609992790994288	0.000253858651502843	3.52050695300123e-05	5.39243441451643e-05	0.000372982503729825	3.0331523552428e-05	4.44938820912125e-05	8.00288103717338e-05	0.00186561969203353	0.000403462441314554	0.00274658696179013	0.00129204530772212	0.00296676422242713	0.000309597523219814	0.00048341514204968	0.00131030056690555	0.00269013313879263	0.000342661336379212	0.000324464633354964	0.000402333534500101	0.000570703868103995	7.54489210804285e-05	6.77552679720848e-05	0.000200856989823246	0.00370106761565836	0	0.000156649783301133	0.000162857608164595
"7"	"Aerococcaceae"	0	0	4.24268137462877e-05	0	0	0	0	0	0	0	0	0	0	0	7.07814269535674e-05	6.24687656171914e-05	0	0	3.52050695300123e-05	0	0	0	0	0	2.78450700303511e-05	3.66784037558685e-05	0.000242345908393247	4.30681769240708e-05	4.00914084111775e-05	0	3.71857801576677e-05	0	0.000136786430786066	5.71102227298686e-05	0	0	0.000126823081800888	0	6.77552679720848e-05	0	0.000142348754448399	0	0	0
"8"	"Aeromonadaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"9"	"Akkermansiaceae"	0.000193208713712988	0.000209529396974396	0.000424268137462877	9.56693666687927e-05	0.000249034989416013	0.000155189136760427	0.00037325967675712	0.000241138172172655	0.000106863295129705	0.0001899214991137	0.000249837605556388	0.000142401458190932	0.000550600154168043	0.00182277061132922	0.00113250283125708	0.00043728135932034	0.000332723340542339	0.000253858651502843	0.000176025347650062	5.39243441451643e-05	0.00118676251186763	0.00115259789499227	0.00218020022246941	0.000920331319274939	0.000222760560242809	0.000220070422535211	0.000525082801518701	0.000689090830785133	0.0230525598364271	0.00572755417956656	0.00479696564033913	0.00457268157022141	0.000182381907714755	0.000171330668189606	0.000417168814313526	0.000603500301750151	0	0.000150897842160857	0.000474286875804594	0.00033476164970541	0.00256227758007117	0.00362894080290315	0.00297634588272153	0.00510287172249064
"10"	"Alcaligenaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.35352100910534e-05	0	0.000121172954196623	0.000129204530772212	0	0	0.000148743120630671	0.000133704139480158	0	0	0	0	0	0	0	0	0	0	0.000156649783301133	0.000162857608164595
