feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Acholeplasmataceae	Timepoint	treatment	0.30712832019025	0.24742987413458	12	4	0.269560885591952	0.717988017097334
Acidaminococcaceae	Timepoint	treatment	-0.179182666188966	0.148193380704387	12	9	0.28066922067292	0.717988017097334
Actinomycetaceae	Timepoint	treatment	-0.347207042140717	0.164686662867018	12	12	0.0888144189093421	0.717988017097334
Akkermansiaceae	Timepoint	treatment	0.451710264503888	0.256353348804476	12	12	0.138355436115873	0.717988017097334
Bacilli.unclassified	Timepoint	treatment	0.290166110013499	0.171484135997259	12	4	0.121502314204167	0.717988017097334
Barnesiellaceae	Timepoint	treatment	-0.0501716659439992	0.0501716656616452	12	1	0.34089353632734	0.717988017097334
Brucellaceae	Timepoint	treatment	-0.0501716659439969	0.0501716648286584	12	1	0.340894914650548	0.717988017097334
Burkholderiaceae	Timepoint	treatment	-0.307035108471681	0.278890092453238	12	6	0.321087235841668	0.717988017097334
Caldicoprobacteraceae	Timepoint	treatment	0.651772347476804	0.293624516241958	12	8	0.0771527213400656	0.717988017097334
Carnobacteriaceae	Timepoint	treatment	-0.294861633332073	0.251613014044462	12	9	0.294038592067829	0.717988017097334
Christensenellaceae	Timepoint	treatment	0.556401869442795	0.22654809590649	12	11	0.0575106771464902	0.717988017097334
Clostridiaceae	Timepoint	treatment	0.217136169212778	0.203263334443135	12	12	0.334245791410971	0.717988017097334
Comamonadaceae	Timepoint	treatment	-0.201024095727123	0.12394946042922	12	5	0.165767942121271	0.717988017097334
Coriobacteriaceae	Timepoint	treatment	0.274797200026767	0.149775159530317	12	9	0.125998477811484	0.717988017097334
Coriobacteriia.unclassified	Timepoint	treatment	-0.0501716659439969	0.0501716648286584	12	1	0.340894914650548	0.717988017097334
Eggerthellaceae	Timepoint	treatment	0.263700264726165	0.22752297323585	12	12	0.29879404326654	0.717988017097334
Enterococcaceae	Timepoint	treatment	0.238256477889359	0.21335882456565	12	11	0.314893964511699	0.717988017097334
Entomoplasmatales.unclassified	Timepoint	treatment	0.0501716659439992	0.0501716655348384	12	1	0.340893450754579	0.717988017097334
Eubacteriaceae	Timepoint	treatment	0.214065252997685	0.167946812323428	12	12	0.258470769399765	0.717988017097334
Fusobacteriaceae	Timepoint	treatment	-0.296726881422804	0.229434775457687	12	10	0.252434080738988	0.717988017097334
Geobacteraceae	Timepoint	treatment	0.105333325410078	0.0667287064965957	12	2	0.165544854705759	0.717988017097334
Gottschalkiaceae	Timepoint	treatment	-0.0728157811653022	0.0507495302059369	12	3	0.210810084155675	0.717988017097334
Lachnospiraceae	Timepoint	treatment	-0.153951670762648	0.0553083409189962	12	12	0.0387405887334777	0.717988017097334
Leptotrichiaceae	Timepoint	treatment	-0.0501716659439993	0.0501716648166235	12	1	0.340896769531779	0.717988017097334
Listeriaceae	Timepoint	treatment	0.4442609798766	0.302388911925232	12	4	0.201729609353153	0.717988017097334
Micrococcaceae	Timepoint	treatment	-0.425965744990422	0.216828978530516	12	5	0.0778493263391785	0.717988017097334
Micromonosporaceae	Timepoint	treatment	0.136396303018584	0.136396302911032	12	2	0.363217467251602	0.717988017097334
Mollicutes.unclassified	Timepoint	treatment	0.46157345403014	0.334380088057734	12	3	0.197541427411033	0.717988017097334
Mycoplasmataceae	Timepoint	treatment	0.440642532969787	0.321377160986307	12	5	0.228679621227126	0.717988017097334
Neisseriaceae	Timepoint	treatment	-0.165051023098615	0.115797181621341	12	2	0.18451450555842	0.717988017097334
Odoribacteraceae	Timepoint	treatment	-0.396311970940309	0.259672749905974	12	7	0.187484699054296	0.717988017097334
Oscillospiraceae	Timepoint	treatment	0.713527615173354	0.394850684506814	12	11	0.130561829930889	0.717988017097334
Peptococcaceae	Timepoint	treatment	0.204866560073981	0.154021894863728	12	9	0.240922364628363	0.717988017097334
Porphyromonadaceae	Timepoint	treatment	0.358943496321211	0.124593813635928	12	6	0.034551378526501	0.717988017097334
Pseudanabaenaceae	Timepoint	treatment	0.269257179151352	0.17557179907628	12	3	0.185708327252812	0.717988017097334
Spiroplasmataceae	Timepoint	treatment	0.663326165459793	0.57549651278775	12	11	0.301178126198878	0.717988017097334
