"Group.1"	"X1103_V2_D1_CTAB_DNA"	"X1103_V2_D1_PowerFecal_DNA"	"X1103_V2_D1_R1"	"X1103_V2_D1_R2"	"X1103_V6_D29_CTAB_DNA"	"X1103_V6_D29_PowerFecal_DNA"	"X1103_V6_D29_R1"	"X1103_V6_D29_R2"	"X2103_V2_D1_CTAB_DNA"	"X2103_V2_D1_PowerFecal_DNA"	"X2103_V2_D1_R1"	"X2103_V2_D1_R2"	"X2103_V6_D29_CTAB_DNA"	"X2103_V6_D29_PowerFecal_DNA"	"X2103_V6_D29_R1"	"X2103_V6_D29_R2"	"X2202_V2_D1_CTAB_DNA"	"X2202_V2_D1_PowerFecal_DNA"	"X2202_V2_D1_R1"	"X2202_V2_D1_R2"	"X2202_V5_D22_CTAB_DNA"	"X2202_V5_D22_PowerFecal_DNA"	"X2202_V5_D22_R1"	"X2202_V5_D22_R2"	"X3204_V2_D1_CTAB_DNA"	"X3204_V2_D1_PowerFecal_DNA"	"X3204_V2_D1_R1"	"X3204_V2_D1_R2"	"X3204_V6_D29_CTAB_DNA"	"X3204_V6_D29_PowerFecal_DNA"	"X3204_V6_D29_R1"	"X3204_V6_D29_R2"	"X3216_V2_D1_CTAB_DNA"	"X3216_V2_D1_PowerFecal_DNA"	"X3216_V2_D1_R1"	"X3216_V2_D1_R2"	"X3216_V6_D29_CTAB_DNA"	"X3216_V6_D29_PowerFecal_DNA"	"X3216_V6_D29_R1"	"X3216_V6_D29_R2"	"X3218_V2_D1_CTAB_DNA"	"X3218_V2_D1_PowerFecal_DNA"	"X3218_V2_D1_R1"	"X3218_V2_D1_R2"
"1"	"Acidobacteria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.71102227298686e-05	0	0	0	7.54489210804285e-05	6.77552679720848e-05	0	0	0	0	0
"2"	"Actinobacteria"	0.112688982273101	0.0222939278380757	0.0843020789138736	0.0533197270234071	0.0317104553189723	0.00205625606207565	0.0139599119107163	0.0163973957077405	0.11880526836045	0.0559002279057989	0.104082346474791	0.0851560719981773	0.227287743640568	0.126542344363432	0.134484711211778	0.141304347826087	0.078799977818444	0.0398558082859464	0.20003520506953	0.162662784113888	0.0515054930150549	0.0089781309715187	0.104071190211346	0.122484094273939	0.106813688636427	0.0622799295774648	0.231642297439212	0.220982815797407	0.106041775247564	0.0336429308565531	0.121262829094154	0.127607230719863	0.0626937807769469	0.051741861793261	0.0175210902011681	0.0238047341245893	0.106975269499049	0.091368643428399	0.0437021478419947	0.046598821638993	0.279288256227758	0.0515990020412792	0.0573860372826484	0.12985179957657
"3"	"Bacteroidetes"	0.0024634110998406	0.0226291748732347	0.0123037759864234	0.0126283564002806	0.0121612086498153	0.340484966052376	0.0864842671046247	0.0557993730407524	0.20226550185675	0.266143327424664	0.215210113426273	0.165185691501481	0.00501046140292919	0.187605159842961	0.133069082672707	0.157421289355322	0.000831808351355848	0.00319861900893582	0.000387255764830136	0.000566205613524226	0.125864641258646	0.251236009584761	0.219221357063404	0.0570605417950462	0.00050121126054632	0.00253080985915493	0.00286775991598675	0.00478056763857186	0.000521188309345307	0.00531475748194014	0.00178491744756805	0.00419830997967697	0.000547145723144264	0.0962307252998287	0.0233614536015574	0.0168309528599209	0.000951173113506658	0.0362154821186057	0.0035910292025205	0.00307980717728977	0.0123843416370107	0.525175776820141	0.345464988773432	0.270126486075675
"4"	"Chlamydiae"	0	0.000125717638184637	0	3.18897888895976e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5"	"Cyanobacteria"	0	0	0	0	0	0	0	0	0	6.33071663712332e-05	9.99350422225553e-05	2.84802916381864e-05	0	0	0	0.000124937531234383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000133904659882164	0	0	0	0
"6"	"Deinococcus-Thermus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.03909847322078e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142348754448399	0	0	0
"7"	"Firmicutes"	0.474134183451674	0.522482504295353	0.763003818413237	0.745519484661012	0.323994521230233	0.272124151309408	0.540032100332201	0.513961900168797	0.498490555956293	0.462458850341859	0.558237145855194	0.592048302574618	0.499449399845832	0.477075154234436	0.655648357870895	0.640679660169915	0.446625630788	0.5	0.546981165287801	0.576559087600097	0.354502916045029	0.200794685917074	0.323381535038932	0.453883398023288	0.237323531868683	0.285174589201878	0.466677437595929	0.448210517248805	0.320290261796897	0.450980392156863	0.636732113639744	0.560273826077655	0.757933612985592	0.744545973729298	0.904236581069806	0.897270837524308	0.776410906785035	0.789950203712087	0.831763669625313	0.822107659346545	0.676014234875445	0.363631208890905	0.500704924024855	0.528201509147169
"8"	"Fusobacteria"	4.83021784282471e-05	8.38117587897582e-05	4.24268137462877e-05	3.18897888895976e-05	4.15058315693355e-05	0.000155189136760427	0	0.000144682903303593	0.000347305709171542	0.0001899214991137	0.000199870084445111	0.000370243791296423	0	0.000210319685922602	0.000141562853907135	6.24687656171914e-05	0.000221815560361559	0	7.04101390600246e-05	2.69621720725822e-05	3.3907500339075e-05	6.06630471048561e-05	0	4.00144051858669e-05	5.56901400607023e-05	3.66784037558685e-05	0.000121172954196623	4.30681769240708e-05	0.000200457042055887	5.15995872033024e-05	0.000111557340473003	0	0	0.000114220445459737	0.000417168814313526	6.70555890833501e-05	0.000126823081800888	0	0.00013551053594417	0.000133904659882164	0.000569395017793594	0	5.2216594433711e-05	0
"9"	"Lentisphaerae"	0.000193208713712988	4.19058793948791e-05	4.24268137462877e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.55954769286887e-05	5.71102227298686e-05	0	0	0	0	0	0	0	0	0	0
"10"	"Proteobacteria"	0.0217842824711394	0.0833507941164145	0.06902842596521	0.0814146310351425	0.0292201054248122	0.0337148399612027	0.0712179463252585	0.0791415481070653	0.00569047046565681	0.00386173714864523	0.0084944785889172	0.00384483937115516	0.000605660169584848	0.00336511497476164	0.00835220838052095	0.00224887556221889	0.00388177230632729	0.00604183590576767	0.00503432494279176	0.00517673703793578	0.00874813508748135	0.00239619036064181	0.0113904338153504	0.00716257852827018	0.0221089856040988	0.0424735915492958	0.0892640762581792	0.0944054438175632	0.00505151745980836	0.0180082559339525	0.0350661906886807	0.0495774949192427	0.000136786430786066	0.000799543118218161	0.000370816723834245	0.0002682223563334	0.000570703868103995	0.00150897842160857	0.000542042143776679	0.000669523299410819	0.0163701067615658	0.0480267634384214	0.089447026264947	0.0611801748004994
