feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Aerococcaceae	Timepoint	treatment	-0.0501716659439969	0.0501716656609144	12	1	0.340893457088498	0.696166812675393
Akkermansiaceae	Timepoint	treatment	1.08713548892224	0.61886262689036	12	10	0.139320370499988	0.696166812675393
Barnesiellaceae	Timepoint	treatment	-0.0501716659439969	0.0501716656674066	12	1	0.340893201588228	0.696166812675393
Burkholderiales.unclassified	Timepoint	treatment	-0.0501716659439957	0.0501716648176806	12	1	0.34090020456363	0.696166812675393
Carnobacteriaceae	Timepoint	treatment	-0.491741738019392	0.213995867313043	12	5	0.0444125177365921	0.696166812675393
Christensenellaceae	Timepoint	treatment	0.591701496560865	0.302639690586695	12	6	0.107958849011465	0.696166812675393
Clostridiales.Family.XIII	Timepoint	treatment	0.408216694434324	0.148424881721277	12	12	0.0402946583850118	0.696166812675393
Enterobacteriaceae	Timepoint	treatment	-0.218189596447793	0.127659685127585	12	8	0.148119213175171	0.696166812675393
Enterococcaceae	Timepoint	treatment	0.0501716659439993	0.0501716648230688	12	1	0.340899802917285	0.696166812675393
Eubacteriaceae	Timepoint	treatment	0.26401365682001	0.170282266480639	12	8	0.1817274354831	0.696166812675393
Fusobacteriaceae	Timepoint	treatment	-0.0501716659439993	0.0501716648187498	12	1	0.340896827873944	0.696166812675393
Gemellaceae	Timepoint	treatment	-0.238044680839153	0.110545240808612	12	5	0.083886998704688	0.696166812675393
Lactobacillaceae	Timepoint	treatment	0.543186273608657	0.388753694777678	12	7	0.221179107001057	0.696166812675393
Leuconostocaceae	Timepoint	treatment	-0.345433750703088	0.178438171869206	12	4	0.110654279702507	0.696166812675393
Methanobacteriaceae	Timepoint	treatment	0.191423787907932	0.191423787846405	12	2	0.363217467482814	0.696166812675393
Micrococcaceae	Timepoint	treatment	0.080931339724529	0.0526548691988509	12	4	0.184894791771699	0.696166812675393
Muribaculaceae	Timepoint	treatment	-0.0501716659439957	0.0501716648178781	12	1	0.34089839194863	0.696166812675393
Pasteurellaceae	Timepoint	treatment	-0.717015605415487	0.459975511843526	12	6	0.150099569253567	0.696166812675393
Peptococcaceae	Timepoint	treatment	-0.0501716659439981	0.0501716659187988	12	1	0.340893135852279	0.696166812675393
Prevotellaceae	Timepoint	treatment	-0.486026636144623	0.202059773267899	12	6	0.0612138776230568	0.696166812675393
Pseudomonadaceae	Timepoint	treatment	-0.0501716659439981	0.0501716648227733	12	1	0.340911450883344	0.696166812675393
Staphylococcaceae	Timepoint	treatment	-0.106192194015491	0.0673125140546355	12	2	0.165769231661957	0.696166812675393
Streptococcaceae	Timepoint	treatment	-0.384919243539616	0.279352935957655	12	12	0.198285034158669	0.696166812675393
Unknown	Timepoint	treatment	-0.25261731310045	0.248506707368408	12	4	0.356014176481961	0.696166812675393
Alcaligenaceae	Timepoint	treatment	-0.281875112255079	0.383519099048696	12	10	0.495361934463173	0.813808892332355
Corynebacteriaceae	Timepoint	treatment	0.075087727467114	0.0999549791529898	12	4	0.486354367431216	0.813808892332355
Ruminococcaceae	Timepoint	treatment	0.0898873647700168	0.112584729641327	12	12	0.460862339205381	0.813808892332355
Turicibacteraceae	Timepoint	treatment	-0.164876598567805	0.201961940067233	12	11	0.451412671825739	0.813808892332355
Bifidobacteriaceae	Timepoint	treatment	0.278350778162056	0.515321990395429	12	12	0.612274417036907	0.853473429809022
Clostridiales.unclassified	Timepoint	treatment	0.0920580741064357	0.168172448129672	12	12	0.607639324410871	0.853473429809022
Dehalobacteriaceae	Timepoint	treatment	-0.0901467607297247	0.149018310713096	12	2	0.558696962528286	0.853473429809022
Peptoniphilaceae	Timepoint	treatment	0.0317544255555795	0.0549212270352818	12	7	0.588204728450869	0.853473429809022
Veillonellaceae	Timepoint	treatment	-0.19031506463325	0.330163076583459	12	12	0.589301906784628	0.853473429809022
Bacteroidaceae	Timepoint	treatment	0.137039738870746	0.296991114668626	12	12	0.663870660433633	0.858366295302211
Coriobacteriaceae	Timepoint	treatment	0.17883029613847	0.394315758253351	12	11	0.669178587283048	0.858366295302211
Erysipelotrichaceae	Timepoint	treatment	-0.0360527635505753	0.0912575698780394	12	12	0.709085200467044	0.858366295302211
Mollicutes.unclassified	Timepoint	treatment	0.114134049224828	0.292600708316472	12	4	0.704665921205463	0.858366295302211
Peptostreptococcaceae	Timepoint	treatment	0.205729807861643	0.468273436978509	12	9	0.678755464816688	0.858366295302211
Actinomycetaceae	Timepoint	treatment	-0.0916461107314106	0.279877707597115	12	5	0.750079044570475	0.865159507803304
Lachnospiraceae	Timepoint	treatment	0.0219724153498528	0.0658911140366994	12	12	0.752312615481134	0.865159507803304
Porphyromonadaceae	Timepoint	treatment	0.0767460350766527	0.286006651392059	12	11	0.799159282972452	0.896617732115434
Clostridiaceae	Timepoint	treatment	-0.0384623491624048	0.215387838375262	12	12	0.865283430631626	0.904614495660336
Odoribacteraceae	Timepoint	treatment	-0.081633800055043	0.367469419075458	12	7	0.832985007685028	0.904614495660336
Rikenellaceae	Timepoint	treatment	0.0681400369260938	0.365399313059877	12	10	0.859397649069944	0.904614495660336
Desulfovibrionaceae	Timepoint	treatment	0.00125539974105315	0.372479580606453	12	9	0.997441164121635	0.997441164121635
Paraprevotellaceae	Timepoint	treatment	-0.00513817635727717	0.316202712820872	12	6	0.987663716721879	0.997441164121635
