"Group.1"	"1103_V2_D1"	"1103_V6_D29"	"2103_V2_D1"	"2103_V6_D29"	"2202_V2_D1"	"2202_V5_D22"	"3204_V2_D1"	"3204_V6_D29"	"3216_V2_D1"	"3216_V6_D29"	"3218_V2_D1"
"1"	"Actinomycetaceae"	0.000144695	0.000134637	0.00040175	0	0.00072697	0	0	0.001314469	0	0	0
"2"	"Aerococcaceae"	0	0	0	0	0	0	0.000383362	0	0	0	0
"3"	"Akkermansiaceae"	0	0.001077097	0.000178555	0.002803847	0	0.021870116	0.000221946	0.22025888	0.000724387	0.000718694	0.176774231
"4"	"Alcaligenaceae"	0.00028939	0.00276006	0.004568044	0	0.000309635	0.000693626	0.002380881	0.001294401	0.00014817	0	0.013265276
"5"	"Bacteroidaceae"	0.011141524	0.129773306	0.078237061	0.04518116	0.007040832	0.083845227	0.005498231	0.002358017	0.006025605	0.002133219	0.145946881
"6"	"Barnesiellaceae"	0	0	0	0	0	0	0	0	0.000164633	0	0
"7"	"Bifidobacteriaceae"	0.115628816	0.03443343	0.070663334	0.138027719	0.117122818	0.070148168	0.000161416	0.037246639	0.00014817	0.001414572	0.014159228
"8"	"Burkholderiales unclassified"	0	0	8.93e-05	0	0	0	0	0	0	0	0
"9"	"Carnobacteriaceae"	7.529e-05	0	7.44e-05	0	0	0	0.000242123	0	0.000411584	0	0
"10"	"Christensenellaceae"	0	0	7.44e-05	0.001002411	0	0.000309207	0	0	0	0.001642707	0.000173025
"11"	"Clostridiaceae"	0.008403896	0.004241068	0.003050322	0.003268733	0.039512123	0.007003117	0.043481331	0.020178608	0.032564496	0.13607269	0.01392854
"12"	"Clostridiales Family XIII"	0.000891344	0.001279052	0.001175512	0.001932174	0.000350022	0.002039094	0.000171504	0.000381296	0.001152433	0.010027505	0.001759091
"13"	"Clostridiales unclassified"	0.013346642	0.023544657	0.035532544	0.038556545	0.080828206	0.055465039	0.038739794	0.010646224	0.044434568	0.132753031	0.016379733
"14"	"Coriobacteriaceae"	0.065952019	0.023847591	0.035086153	0.059941308	0.099500546	0.043807088	0	0.003532009	0.000312804	0.003388166	0.001759091
"15"	"Corynebacteriaceae"	0	0	0.000267833	0.000145277	0	0	0	7.02e-05	0	9.13e-05	0
"16"	"Dehalobacteriaceae"	0	0	0	5.81e-05	0	0	0	0	0	0	0.000201863
