"Group.1"	"1103_V2_D1"	"1103_V6_D29"	"2103_V2_D1"	"2103_V6_D29"	"2202_V2_D1"	"2202_V5_D22"	"3204_V2_D1"	"3204_V6_D29"	"3216_V2_D1"	"3216_V6_D29"	"3218_V2_D1"
"1"	"Actinobacteria"	0.18180073	0.058533465	0.106627385	0.19852108	0.217350334	0.113955256	0.000161416	0.042163317	0.000460974	0.004894038	0.015918319
"2"	"Bacteroidetes"	0.015036677	0.1846884	0.159598826	0.061641049	0.00725623	0.093271902	0.005851362	0.002538631	0.19164988	0.013883301	0.258903595
"3"	"Cyanobacteria"	0	0	0	0	0	0	0	0	0.000263414	0	0
"4"	"Euryarchaeota"	0	0	0	0	0	0	0	0	0.008676182	0.122143762	0
"5"	"Firmicutes"	0.780115521	0.732038499	0.722227095	0.735203455	0.770062298	0.766740982	0.977512723	0.728807881	0.796068727	0.858052275	0.533408298
"6"	"Fusobacteria"	4.05e-05	0	0	0	0	0	0	0	0	0	0
"7"	"Proteobacteria"	0.023006503	0.023662465	0.010668712	0.00177238	0.005223408	0.004119972	0.016252536	0.006231186	0.001893285	0	0.014995529
"8"	"Tenericutes"	0	0	0.000699342	5.81e-05	0	0	0	0	0	0.000307988	0
"9"	"TM7"	0	0	0	0	0.000107699	4.18e-05	0	0	0.000263414	0	0
"10"	"Verrucomicrobia"	0	0.001077097	0.000178555	0.002803847	0	0.021870116	0.000221946	0.22025888	0.000724387	0.000718694	0.176774231
